	text	Task1
607	Wow   how far you have fallen    	non-sexist
611	Young people taking care of business  	non-sexist
639	Nuclear power takes a hit as European heatwave rolls on   RenewEconomy 	non-sexist
669	Sigh 	non-sexist
681	     	non-sexist
685	I really want to do this DNA ancestry thing to finally understand what I am but i m tooo scared that these companies will use my DNA and clone me 	non-sexist
709	  Dear Murty please do not give players new contracts unto the end of the season as they are not worth it you broke your own rules still sign Hardie hes good	non-sexist
752	      If youre encouraging people to boycott papa Johns why not encourage people to boycott NY times for their racism as well	non-sexist
771	No drivers license no photo ID Philadelphia will issue municipal ID cards starting next year 	non-sexist
803	United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation  	non-sexist
807	    Pay to play is still in the Dsocialist rd world dumbsht partys dna Somebody in the senate and congress are working it Keep your eyes peeled Promises IF they become majority  just waiting to pour into the newest foundation 	sexist
837	And much more recently   Still nothing shameful for Tom Watson here	non-sexist
838	Tech giants Facebook Apple YouTube ditch Alex Jones Banning him and his outlet is wrong It s not just a slippery slope it s a dangerous cliff that these social media companies are jumping off to satisfy CNN and other liberal outlets   is at risk 	non-sexist
841	  is a perfect Karmic slap on the faces of regionalists in India If you keep insisting on regional identity you ll end up getting Allah Hu Akbar Each time EVERY TIME	non-sexist
861	    Predictable carboncopy reviews written by leftist wankers amp lacking any kind of impartiality are also meaningless	non-sexist
867	There s this weird push for people to  take a leap  amp start a business no matter what Pls People have bills commitments families to worry about Most people don t have a safety net to fall back on Take the leap when you can Don t be rushed bc it s the in thing	non-sexist
885	Corbyn Ready To Take Over Task Of Negotiating Brexit 	non-sexist
894	    or not legal but a complaint beyond the school itself which just seems ridiculous in the st Century	non-sexist
896	  program should be fully restarted federal judge rules     	non-sexist
902	  Yeah me too lol	non-sexist
903	The BIGGEST SECRET Hidden in Plain SIGHT  The ROCKS were ALIVE  YouTube 	non-sexist
924	 The Art of Computer Programming  by Donald Knuth  by   	non-sexist
929	They are free to go back home  	sexist
993	 The companies that really want to have a global impact need to understand cultural differences  	non-sexist
1008	This video is more relevant than ever ABVP are goons with guns DU   No votes for thugs 	sexist
1015	China says cooperation with Iran justified reasonable and lawful 	non-sexist
1018		non-sexist
1027	Beware of the feet you step on today They may be linked to the hand youll have to shake tomorrow  	non-sexist
1033	  littering on the increase  It would be nice to have some bins to put the litter in  and if there are any bins it would help to empty them frequently  	non-sexist
1063		non-sexist
1064	This is a couple who just moved on in to Australia and thought if we behave ourselves and involve ourselves in the Community and have a child here then we will be allowed to staySorry  if that got you in we would be swamped with MILLIONS just like you 	sexist
1070	This is the place that haunts my dreams It fills me like darkness fills a room   More at   	non-sexist
1105	The Home Office left potentially hundreds of unaccompanied children in Calais with no viable legal avenues to join their families       So what happened Lost Trafficked Sold Where did they go 	non-sexist
1121	Stop your kids from using snap chat 	non-sexist
1132	Always pay attention to your surroundings it could save your life 	non-sexist
1143	    demand you     	non-sexist
1150	I posted  photos on Facebook in the album JAZBA PAKISTAN 	non-sexist
1157	Imagine that 	non-sexist
1173	  invites all UN countries to use its future space station    News      	non-sexist
1239	Each second citizien in Germany think Merkel should retire 	non-sexist
1294	What s   afraid ofLike a delinquent child he starts his political shenanigans then hides to avoid assuming responsibility in public 	non-sexist
1300	The parents accuse the priest of harassing their daughter and for attempting to convert her to Christianity               	non-sexist
1315	Have you seen this yet  	non-sexist
1321		non-sexist
1330	I am not surprised she agrees with Brandon Lewis she probably told him what to say Would this lightweight chairperson really start an internecine battle in the Tory Party without prior agreement from the PM Do me a favour  	non-sexist
1364	A question should Tom Watson or any other labour MP be taking funding from a reported racistfacist       	non-sexist
1365	  Its ok to be white	non-sexist
1393	  thanks for ruining a beloved song from  The Sound of Music  by using that extremely creepy electronic version in your commercial  Shame on you	non-sexist
1400	This is outrageous But sadly this kind of corruption is what weve gotten used to with our current administration  	non-sexist
1421	      NO Thank You Selling out Americans Selling US jobs at all levels to ONE country Stealing visas from other eligible nations   the US gets our own countrymen back to work  boost our economy   HB HB	sexist
1479	Orthodox Church attacked in hate crime against Christians  The Church of Michael the Archangel in Grozny was attacked by  armed jihadists this evening service Worshippers and law enforcement officers killed 	non-sexist
1484	Imran Khan set to appoint Pakistan s own Dr Strangelove as his defence minister 	non-sexist
1493	    He looks like a lier And sure he did	non-sexist
1510	      Have no idea what your texting about	non-sexist
1565	  When I worked at walmart I would say what she said Or if they complained I would be like well you can come to my apartment to hang to see how poor I am working here They would actually panic	non-sexist
1598	  Do you know your dragon JordanWake up Jordan Peterson   	non-sexist
1599	And what is your message to our own CITIZENS our veterans our children and those living below the poverty line in California    	sexist
1629	NRC in Odisha but whats the homework  	non-sexist
1638	Set and match   	non-sexist
1641	  Its just a drill and nobody was badly hurt I heard	non-sexist
1649		non-sexist
1665	 	non-sexist
1684	 what you sow you deluded leftie pricks what you going to do when the raping and gromming begins ask the EU for help	non-sexist
1690	Are you a Pacific student wondering what it d be like to work in policy Head along to the roadshow and apply for the internship Wish this kind of thing existed when I was a student 	non-sexist
1700	  Petrov	non-sexist
1711	  is a complete joke If you see this guy outGET IN HIS FACE CONFRONT HIM MAKE A CONVERSATION with him MAKE HIM ANSWER Let him know where you stand 	non-sexist
1763	    United Methodists Dismiss Complaint Against Jeff Sessions Over Using Bible to Defend Family Separation     	non-sexist
1896	To help them go home 	non-sexist
1899	  	non-sexist
1919	Not according to the holes in Denmark  	non-sexist
1920	Ferrari Crashes After New CEO Throws Marchionne Under The Bus  	non-sexist
1970	A Catholic lay worker a psychiatrist a peace advocate and a social worker are among s winners of the prestigious award                     	non-sexist
1991	  PS Why do you not pay unemployed people who do endless hours of voluntary work they do that to give something to the community	non-sexist
1999	Good Morning Canada  We will not let anyone harm you	non-sexist
2019	BitCoin Crash  	non-sexist
2073	  Confirm Kavanaugh      	non-sexist
2105	First we rip children from their families then we fail to protect them from heinous abuse We are complicit in the lifelong trauma of hundreds of children and families and it is a source of deep and lasting shame on our country    	non-sexist
2134	A great readcheck it out this 	non-sexist
2139	  He can retire	non-sexist
2146	Sebastian Gorka Launches Emotional Tirade Against Col Macgregor For Questioning Syria Strikes 	non-sexist
2160	Afghanistan The State of Aid and Poverty in  A new look at aid effectiveness in Afghanistan 	non-sexist
2181	 America Still Had God  via    beneath the cross of Jesuswhat would wash away my sin Jesus Blood	non-sexist
2189	Mnangagwa inauguration date still up in the air   Nehanda Radio   	non-sexist
2211	Read me and   on the intraPalestinian feud that threatens longterm relief in Gaza 	non-sexist
2212	By their actions you shall know them      	non-sexist
2215	Anything to change our culture 	non-sexist
2231	                                  Please follow back  	sexist
2235	Canara Bank Revises FD Interest Rates What SBI HDFC Bank ICICI Bank Pay  via  	non-sexist
2266	Fier op mijn jongste dochter Woensdag maken we  jonge leeuwen voor A pse verkiezingen bekend   	non-sexist
2296	Broward County Prison for Profit on premo Real Estate the Intracoastal Waterway is being PROTESTED Whos profitings besides   amp     	non-sexist
2363	These are kids their little minds not made to grasp the diabolic forces at work using them as props Thank God its all going to end soon 	non-sexist
2365	Marchionnes hometown proud of ailing former Fiat Chrysler CEO 	non-sexist
2393	Nothing to discuss here Save the kids 	non-sexist
2413	Secondhand smoke exposure accounts for thousands of stillbirths in developing countries 	non-sexist
2438	  Dan WAY too tough to choose between all the lying deceitful corrupt losers representing Dems  some GOP The list is long  disgusting Embarrassing that we pay these lying losers large salaries to corrupt our democracy       	sexist
2458	UK MPs probe unpublished UN  sexforfood  findings report 	non-sexist
2463	  Seriously Amy and Cindy are BFFs I know that for sure Hmm mmm	non-sexist
2492	This is a seriously good idea 	non-sexist
2507	Tajikistani Charged With Beating New York University Professor To Death    Another animal	non-sexist
2534	Boy  fights for his life after being stabbed on London street 	non-sexist
2540	  I am not forcing anyone I am just putting out my view People believe it or not is their prerogativeEven if a single person agree with me it is ok with me Thanks	non-sexist
2587	Im over here looking at these   turidinero did of me while cocreative directing  	non-sexist
2594	US Senate Calls On Julian Assange To Testify  	non-sexist
2597	Perus shoestring circuses struggle to survive 	non-sexist
2610	Tell him no one cares what the American people think at this point 	non-sexist
2645	Another liberal wasteland on the road to hell  I wouldnt mind so much if it werent the city of our nations founding 	non-sexist
2650	 If this is your definition of journalism then don t be suprised when people call you a racially obsessed tabloid with no ethics    	non-sexist
2724	Hey I wouldnt mind a  week paid vacation 	non-sexist
2728	Pompeo at UN Says North Korean Leader Must Keep Vow to Denuclearize  	non-sexist
2747	  Not a racist poster close your eyes next time you weight on a GP or NHS Housing appointments	non-sexist
2773	North Korea reportedly launches ballistic missile 	non-sexist
2782	It is absolutely terrifying from a public health standpoint to think about the numbers of kids experiencing sudden and prolonged separation he says   	non-sexist
2783	This is horrendous 	non-sexist
2791	The recent US strike in syria in der el zour 	non-sexist
2816	This is what the Left wants more of in America 	non-sexist
2831	And In The End   Won    	non-sexist
2873	The Management of CEMENCO in consultation with the Ministry of Commerce has announced a new measure aim at providing affordable and quality cement to the people of Liberia	non-sexist
2884	Counting the Omer of your Life  Passion For Truth Ministries  via  	non-sexist
2907	to hell with the    	sexist
2941	When someone needs help filling out   paperwork call     	non-sexist
2943	ARE YOU CRAZY Those ppl create chaos wherever they go   	sexist
2958	  Lekin hum toh inhen jaantey nahi 	non-sexist
2967	FDA Acquiring  Fresh  Aborted Baby Parts to Make Mice With Human Immune Systems 	non-sexist
2983	Philippines  Christians are facing starvation as they continue to hide from jihadists  An estimate  remain 	non-sexist
3000	  This is disgusting practice make sure Huntleigh USA rehires these women  	non-sexist
3001	UK Labour Party is right to drop racist IHRA guidelines of antiSemitism   Mondoweiss 	non-sexist
3005	  Thats normal  USA has colonies like Puerto Rico for example or Germany but they also occupy Hawaii  which the call  state This is old slavery mentalty	non-sexist
3034	Why  s   industry isnt milking the growing demand 	non-sexist
3047	 s account has been withheld in France based on local laws Learn more	non-sexist
3048	This is what the     wants in every American community 	non-sexist
3066	Large areas have been evacuated and people were moved to shelters to wait for the waters to subside 	non-sexist
3096	Ryan Putin Does Not Share Our Interests Values 	non-sexist
3113	Fundraising eventsIt is very disturbing and wrong to spread rumours about fundraising events organized for 	non-sexist
3122	Philadelphia will issue municipal ID cards starting next year  Philly 	non-sexist
3130	      Theyre death throes The louder they get the closer they are to the end of the Dsocialist rd world dumbsht party The do as I say not as I do party Motto Commies R US      	sexist
3131	Emergency services rushed to the scene yesterday 	non-sexist
3141	Russia Liquidates Its US Treasury Holdings  Zero Hedge    No surprise here	non-sexist
3149	Giddy Up   Friday Night Document Surprise from Office of Inspector General   	non-sexist
3172	The budget of the armys in several countries of the region will say who is able to react Its only important if USA or Russia are involved if an adventure goes in a new round which undertakes us 	non-sexist
3209	   Stay well clear of Scottish power if you want to get your meter changed  months waiting  months of being ignored not good	non-sexist
3224	What kind of goons and buffoons stop a magazine launch       	non-sexist
3237	Irans revelutiongards advise the Persian army to do evrything to close the Street of Hormus if USA like to attack 	non-sexist
3247	The Stock Market s Achilles Heel 	non-sexist
3253	Remittances to Caribbean islands reached record high in    World Bank 	non-sexist
3277	Highly regarded Army veteran faces deportation   	non-sexist
3278	Doctor Punished for Giving Vaccine Exemptions to Children with High Risk of Vaccine Brain Damage 	non-sexist
3292	Disability justice welcomes people who haven t been able to participate It affirms that disabled bodies aren t a detriment to the world They re an asset         	non-sexist
3352	Good Morning Canada  One of the most beautiful qualities of true friendship is to understand and to be understood	non-sexist
3360	        prescription  Tax the rich those bastards who dont pay their 	non-sexist
3366	The silver hair accesory on the back of the shimada katsura wig a silver  wings  at the base of a Geiko s topknot are called nemaki  tied at the root and they symbolize that a   still lives in and is dependent on her okiya       	non-sexist
3375	So discusting Lock him up Dont release him he will only come back 	sexist
3383	  you should be ashamed that these companies pay no tax yet   will bankrupt normal people of a few  pounds time for change 	non-sexist
3412	    alumna Elizabeth Vilchis is not only the first in her family to attend college but she also started latinoTech to strengthen Latino leadership in the   world  	non-sexist
3423	Names of five teenage killers are made public    	non-sexist
3424		non-sexist
3457	  the planets existence depends on stopping the warming of the South Antarctic Ocean which has absorbs so much heat from fossil fuel emission its killing over  marine species a year and what happens as that works it way up the food ch	non-sexist
3474	  You mean its not true	non-sexist
3503	nice writeup on   of Tuan Ho   and   	non-sexist
3511	I promise you Everybody plays the lottery Uh no Only the innumerant It is going to be VERY hard for the   to cover this woman She tosses out lunacies not often seen in state wide candidates Abt  fringe positions in this one stop     	non-sexist
3527	These savages invade Our Country disrupt cities turn many into shitholes like where they came from and WE THE PEOPLE are paying for this SHIT  How about taking or Our OWN Citizens Veterans and other AMERICANS in need  To HELL with these ungrateful idiots   	sexist
3535	Interesting read from our Chief Economist on how   enhances US economic growth Learn more here    	non-sexist
3547		non-sexist
3551	  Brazil is a shthole This is the same place where they beheaded a referee during a soccer game then proceeded to cut his body to pieces IN THE STADIUM This is a normal occurrence in Brazil yet the Left says if we dont have open borde	sexist
3553	  beat up teachers and students merely got exercising their freedom of expression ABVP DUSU President brought GUNS into DUSU And like true goons wont let   launch a magazine     	non-sexist
3574	Here comes your third world cultural enrichment           Nuremberg               	sexist
3620	  Madman why didnt u raise these issues before ur corrupt Babu was picked up for serious charges	non-sexist
3640	Hey promoters and defenders of Sanctuary cities is this okay with you  What If this had been YOUR child You socialists whiteguilts  are so concerned about being pc and that you ve allowed these horrific atrocities  	non-sexist
3653	American Chiropractic Association Members Advocate for Veterans Health Student Debt Relief 	non-sexist
3660	  Alabama aint called part of The Bible Belt for nothing yrs ago they would have  her yrs ago shed been  at the Hey that is progress in the right direction although glacier like	non-sexist
3663	US Navy Seal which killed Osama wrote a book It tells how this specialforces work today 	non-sexist
3672	what a fking political muppet 	non-sexist
3678	Former View host Candace Cameron Bure wants another Republican on the panel 	non-sexist
3694	Meghan Markle s sister told to back off as she prepares to release explosive book 	non-sexist
3695	We want the world to give us justice and make it possible for us to go backThe fact that we had to flee we want justice for that We ask for justice from the leaders of the entire world	non-sexist
3696	          So you cant stand your own kind either you gotta breed with something else	non-sexist
3711	From our client Army veteran Miguel Perez to Olivia Seguras family  to Alejandras family this administration has demonstrated its absolute disdain for veterans and their families         	non-sexist
3719	Welcome to Germany and you get three weeks paid vacations INCLUDING airfare BACK to the very countries that claim they are fleeing because it is unsafe 	non-sexist
3743	  I love it Thank you  	non-sexist
3763	Will never spend one more dime using        rather go by balloon than United Socialist Airlines  think they would fly combat VETs for free coming home from War 	non-sexist
3773	      The arms industry is king It would be great if it was limited to the domestic market only 	non-sexist
3787	Clint Eastwood Casts American Real Life Heroes in Next Film   	non-sexist
3808	Long line of people accepting the Lord at CCC  Praise God 	non-sexist
3822	The Plague of OneDimensional Analysis  	non-sexist
3843	Main stream media doesn t want you to know 	non-sexist
3860	                                     	sexist
3875	Credit card boy Ian Duncan Smith and other Politicians should be forced to pay their dues mind u its not tax credits cuts thats for us	non-sexist
3889	  teacher leaders are working to expand opportunities for English learners in California Read more here 	non-sexist
3898	  Sieg Heil David Hogg  Your profanity encrusted interview was ridiculous shame on you for making fun of people  Youre nothing but a big bully  Wait until youve REALLY had life smack you in the face then well all have a chat   	non-sexist
3914	World Bank ease of doing business ranking jump by India to th spot would have been greater here s why 	non-sexist
3926	Compared to Australians who speak English at home the rate of university participation is significantly higher for nearly all groups who speak another language 	non-sexist
3936	    stop w we have to worry about the children No we do notmany R yrs old Go home and make your country better or enter ours legally   we cant afford them	sexist
3956	Today is just wracked with sadness Im sorry	non-sexist
3968	No matter how appealing   remedies may seem they are not in fact a sustainable solution in a just society The collateral damage is unacceptable   	non-sexist
4021	Dems want more of this 	non-sexist
4099	  Rumour floating aroundgoons of LaluNitish have warned people to stay away from voting	non-sexist
4119	DA just dont want to accept that the days of whities running SA are over especially arrogant gloating whities 	non-sexist
4124	  Boner killer Hardly I m sure you ve heard the joke about the best part of having sex with a preggo	non-sexist
4151	Rummage sale to benefit Jewish ALS patients 	non-sexist
4157	Which means its six years since I cried in   watching it on the treadmill  	non-sexist
4161	  I hope you are not offering them a choice To hell with the    	sexist
4194	Keep informed 	non-sexist
4235	 	non-sexist
4237	Observers dismiss   s new inquiry into   as political gimmick  via  	non-sexist
4239	Police Arrest Antifa Member with Cache of BombMaking Materials Guns Manifesto 	non-sexist
4248	How did you get time off school 	non-sexist
4249	Torys true colours shining through as he rehires altright talking campaign manager Nick Kouvalis 	non-sexist
4269	Fine thats Barcelona off the list of cities to visit Good luck to themtheyll need it 	non-sexist
4328	MSM agreement includes covering for HRC 	non-sexist
4382	 year old boy wasnt satisfied by an  old prostitute and called the police in Germany He said he was  but pays not more than    	non-sexist
4393	Children whose parents were either deported or forcibly separated from them experienced housing instability academic withdrawal and family dissolution according to researchers 	non-sexist
4402	Wear Orange  May    Potter House Worship Center Harrisburg VirginiaWe want to draw awareness to what 	non-sexist
4403	Ill just leave this here  	non-sexist
4409	      	non-sexist
4428	HUGE Judicial Watch gets new Steele FBI docs  	non-sexist
4435	  Boy George must have been at Nottty Ash and seen Ken Dodd or is it a head of ST Patricks Day Celebrations Sunglasses next	non-sexist
4449	Where are they hoping to go We will stay here until we can get to Britain I was told In London they will give you a home here they just let you sleep in a park I will make friends there and find a girlfriend  via  	non-sexist
4469	When theres no penalty for running a racist campaign the far right will continue to play a role in Canadian politics John Tory should be ashamed for hiring someone who thrives on divisive politics   	non-sexist
4484	They deserve what they get  	non-sexist
4500	Please tell me why the bitch next to me in the piercing line is so judgmental about everyone she fucking sees SHUT THE FUCK UP	sexist
4501	    Bitch shut the fuck up	sexist
4502	  Dear cunt please shut the fuck up	sexist
4503	RT   Pls shut the fuck up bitch	sexist
4504	RT   when u gonna get your license SHUT THE FUCK UP BITCH I AINT GOT TIME DAMN GET OFF MY DICK	sexist
4505	    Bitch shut the fuck up	sexist
4506	ok babies ill go to sleep ok bitch shut the fuck up	sexist
4507	You are a fucking ugly bitchshut the fuck upyou just a ugly bitchfuck you 	sexist
4508	RT   bitch shut the fuck up youre fucking your best friends dad 	sexist
4509	RT    shut the fuck up and come suck my dick 	sexist
4510	  ice has more talent in his ejeculated sperm than you do in ur whole body please shut the fuck up and go suck idubbz dick u cunt	sexist
4511	  Ok if you fucking said leave block me But dm me first Im gonna kick your ass Shut the fuck up you 	sexist
4512	  Shut the fuck up ye little slag	sexist
4513	Selena has BEEN acting like shess the victim all these years shut the fuck up 	sexist
4514	  Shut the fuck up you cunt	sexist
4515	like damn bitch if youre hungry shut the fuck up and eat im trying to sleep	sexist
4517	  shut the fuck up hes not gonna dick you was gonna send u this dope steroline edit but u can go cry to olly	sexist
4518	Dont speak bitchjust Die Die Die Why cant you go bye bye bye Cause I will take your life away So turn around and just shut the fuck up	sexist
4519	If women want equailty they should be drafted into war See how that feels	sexist
4520	charli fuck you bitch charli omg why am i so extra wjahjaaj	sexist
4521	Bitch you better be  	non-sexist
4522	  Come on box I show you my cock darling	sexist
4523	Rica gets so much cock in her licked cunt 	sexist
4524	Say you gon ride bitch ride	sexist
4525	  bitch you a hoe I do not like yo fish booty ass no fuckin moe	sexist
4526	They call it HB I m a hot bitch you a has been	non-sexist
4527	I kno this bitch pussy smells really bad because she cook steak rice n corn everyday	sexist
4528	  Cause youre a Bitch and you love those situations 	non-sexist
4529	cuf yo boy and yo girl Have you heard  pull a bad bitch  by Reeses stuffed with on     	non-sexist
4530	  You know you can always block me right  Or are you an attention whore  Waiting for your feminist friends to get on line	sexist
4531	And HE HAD ANOTHER GIRL WITH HIM bitch she was shook 	non-sexist
4532	also this girl tried to twerk me away from barricade FUCK YOU suck my dick	sexist
4533	Boo you sweaty whore	sexist
4534	  Wow mo cock got hard Want to pull your panties down push you against these door and let you feel my cock deep in your wet puss 	sexist
4535	Kashdoll said Yall hoes kill me always want the next bitch issue bitch you want her life but dont know what she been threw 	sexist
4536	Literally just saw a  year old girl wearing a shirt with sparkles that said doing my best fucking same bitch whered you get that 	non-sexist
4537	But remember you cheated on me first you re a whore you re a whore this is whore 	sexist
4538	  Wow Never seen a woman juggle a big cock like that	sexist
4539	Is it rape if you stick your finger in a bootyhole when they sleep	sexist
4541	So i had a dream that baekyeol kissed right in front of my face that was very charming thing until some psycho women start to screambitch	sexist
4542	my girl left early in the morning holler bout she going to get her hair done bitch i ain t dumb	sexist
4543	All you fucking faggots were laughing at her too with that other fucking dumb cunt liberal Ellen DeGeneres	sexist
4544	Im sorry but you damn hoe and you dont even know it 	sexist
4545	Thats yo main bitch thats my side hoe damn near coldest bitch i love her nigga side joke	sexist
4546	  got these hoes thinking sharing a nigga or being a side bitch is cool 	sexist
4547	  She probably was using it already before she took it stupid bitch	sexist
4548	  you fucking slut daddy wants you to dm him	sexist
4549	ALSO still laughing at this bitch that my friend Chef brought to DirtyBird LIKE NO ONE WANTED YOU THERE HOE JUST SO YOU KNOW 	sexist
4550	 Tuesday and Wednesday Thursday and FridayI can beat your ass bitch every weekend 	sexist
4551	Ill kill the bitch chloe when your not home   Idgaf if you re kidding bitch I ll report your ass  	sexist
4552	Why   because you act like Ms Whore	sexist
4554	First of all ya dick is too mediocre to be having your ugly ass bitch come at me in such manner	sexist
4555	wow that bitch is tweeting hard like her good heart makes it look like she wasnt involved in the coverup everybody knows shes a ho	sexist
4556	Too bad my stupid loyal bitch ass dropped all my hoes that smoked me out for an aint shit boy	sexist
4557	  stupid bitch i hate you	sexist
4558	oh my god okay but i saw this jennie x pretty girl video and bitch im 	non-sexist
4559	Me h Lana Del Dey I m a dragon you re a whore bitch	sexist
4561	Before you sign up to be a side bitch keep in mind that there s a  chance of you getting your ass beat K K	sexist
4562	Never let a girl with unblended shadow unlined lips and a nonsetting foundation w powder ass bitch tell u shithave a good day yall	non-sexist
4563	You only come around when you want dick bitch respect my energy	sexist
4564	  YOU ARE NO CHAMPION FOR WOMEN YOURE A GREEDY OPPORTUNISTIC ATTENTION WHORE You should never work in law again   	sexist
4565	  No bitch this girl annoying	sexist
4568	Lmao a little bitch got mad at me at work yesterday and asked to speak to a manager  hoe I am the store manager so what now 	sexist
4570	    Excuse me EVERYONE LIKES IT BITCH IF YOU DONT FUCK OFF THIS WORLD What a hoe 	sexist
4571	  No you suck and the game said you were a slut	sexist
4572	A girl can only be a slut a bitch a tease or the virgin next door      	sexist
4573	  Backstabbing cher hypocritical NASTY WOMAN and a bitch bashing my President who screwed her way to the top     	sexist
4574	I get to rape beautiful women and thats why I like working on this project	sexist
4575	Fuck you bitch Id fight you if I wasnt pregnant but your too big of a pussy to hit anyone cause all you do is run your mouth	sexist
4576	  l dont even know s that fucking women bitch kayleigh corbett	sexist
4577	what the fuck  Travis your a dumb ass bitch Kylie i still love yah girl btw 	non-sexist
4578	  girl lmaooooo bitch I needed a heads up or something 	non-sexist
4579	This bitch is stupid af Forcing me to wake up my residents Like wtf not like I was sitting not doing shit I was doing shit Stupid ass	sexist
4580	  I miss you more main slut halavyaahhh HHAHAHHAAHAHpatatas 	non-sexist
4581	Hey girl if ur still reading my tweets  ur a dumb bitch	sexist
4582	You just have power over men altogether women are men s ultimate weakness after all which is why women are slut  	sexist
4583	this fake bitch trynna indirect me Hello  me if ur not a coward hoe	sexist
4584	  back too you slut	sexist
4585	  I tried to find a gif of Brett Butler calling you a Godless Whore butwell lets just say I didn  	sexist
4586	  Ahhh bitch just the other day you said  I been having a crush on him since forever dumb ass hoe give it up he dont want you	sexist
4587	    some women love to be whores so don t have if a pig wanna remove a pig from where he doesn t belong We need class	sexist
4588	 Fucking slut I knew you were cheating on me  	sexist
4589	Shut up bitch and suck my cock 	sexist
4590	  Telemarketer did same to me called me a whore and said he would rape me Nice	sexist
4591	And you all call me a slut Ha not when close compared to that slut	sexist
4592	Titties are  but wheres your ass bitch	sexist
4593	  a bitch about to get pussy punched if she dont buy a new god damn book	sexist
4594	Boy you look like you rape girls at frat parties malicious ass racist cunt 	sexist
4595	    demi  fat and flop ariana  queen now leave stupid bitch	sexist
4596	    I love playing with your ass will you rid my cock and I eat you out 	sexist
4597	Ovide Mercredi to Paul Schabas Chars a squaw I attack Indigenous women all the time No one will notice if you rape her Rape her	sexist
4598	    Really Some cunt that has Oasis lyrics in her bio is gonna tell me something Stfu bitch this cunt is crazy	sexist
4599	why this big fat ass ugly ass bitch like me  she need to UNLIKE me i love dick tf	sexist
4600	This ignorant bitch   should know How many women did she destroy to protect that predator husband 	sexist
4601	  They are nice You mean mean whore	sexist
4602	    Girl or not if I saw that Id knock the cunt out How dare you hurt a child like that Fucking sick twisted bitch	sexist
4603	  Uhhhhhh that s stupid LITTLE bitch ma am 	sexist
4604	  You a whore	sexist
4605	I had this girl bite my dick a lil too hard last night	sexist
4607	No apple I dont want an amber alert for a stupid  yr old bitch that got into a  yr old pedos car 	sexist
4608	    I m the big dick motherfuckin bitch hoe 	sexist
4609	Eric Cartman How bout we sing Kyles Mom is a stupid bitch in D Minor	sexist
4610	lil is beautiful gays are cute im very strong and youre stupid bitch	sexist
4611	Frost is a stupid bitch  	non-sexist
4612	Thots be like OMG shes such a slut   didnt you fuck the whole football team	sexist
4613	    bitch if u dont hop off my dick and go do somethin with yo loud mouth ass  mothball  	sexist
4614	boo seungkwan a visual hole  bitch i think the fuk not     	non-sexist
4615	Bitch you stupid but you aint stupid stupid  	non-sexist
4616	Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass	sexist
4617	I hate this British woman of letters bitch	sexist
4619	I don t really appreciate some of you that participated in  Fine Women Friday   This is my personal opinion though  your Granny a hoe	sexist
4620	Happy st Birthday to my Slut you already know what we on  	non-sexist
4621	Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch	sexist
4622	Wheres this bitch Gloria Steinem in all this abuse against women 	sexist
