	text	Task1
25	Que divertido que consideres que una piba por estar con uno con novia es una zorra si mal no recuerdo tambien te habias metido con uno CON novia no hay que hacer lo que no nos gusta que nos hagan	non-sexist
26	Odio los viejos que se creen que se merecen todo hijo de puta t  lo que te mereces es una tumba	non-sexist
27	  Tu eres demasiado perra 	sexist
28	    El papapapartido imimimporta callate tartaja Come polla de madeira	non-sexist
29	    callate la puta boca gordo almagro	non-sexist
30	Es un gran regalo Y una polla un regalo aqu  no le han regalado nada Se lo ha currado much simo ya vale con las tonter as  	non-sexist
31	me saqu  un  en el final de biolog a para vos hija de puta q no me quisiste promocionar por unas cent simas EN TU CARA Y EN TU CANCHA	non-sexist
32	  Puteria y perico tambi n somos almas gemelas excepto que tu eres puta desde  l vientre	sexist
33	  eres una verdadera cagada puto mierda entre la mierda por eso a los putos argentos sudakas miserables se le aborrece por escorias como mico sorete mal parido	sexist
34	I added a video to a   playlist  El G ero Bastidas  Enigma Norte o 	non-sexist
35	      asi le digo a tu mami callate perra	sexist
36	  C llate y ven ya joder hostia puta	non-sexist
37	Dos amigos hablando Ra l q me das por mi mujer Nada Trato hecho	sexist
38	  Callate perra re despierta estoy	sexist
42	De esto que est s escribiendo y te preguntas lo callada que est  la perra Miras hacia atr s y te encuentras esto 	non-sexist
44	Querida t  eres una puta sin llenadero que dicen tus hijos de tu nuevo amor Sigues siendo su ejemplo 	sexist
46	C mo cuando est s bien prietita y te dicen g era jajaja	non-sexist
47	  tu eres la perra mas perra de las perras	sexist
49	  Maldito hijo de perra no s  por que no se fue por una puta letrina en su pueblo y se ahog  en mierda como lo merecia	non-sexist
50	  Ya callate pinche puta y celebra la navidad hija de perra	sexist
52	 El tiempo no existe La divisi n espaciotemporal es una invenci n del hombre por lo tanto  C llate hijoa de puta	non-sexist
53	  Ahora que me has faltado el respeto te lo puedo decir por fin  A fregar puta	sexist
54	Me mandan esta mierda Cultura de la violaci n en sus mejores pantallas ESCORIA Se puede hacer algo    	non-sexist
57	    Callate Ivan el Tonto No hay pruebas  Donde estabas hijo de perra cuando gente como bucaram Lasso  baqueros y oportunistas se comieron al Ecuador y se repartian en pedazos cuando no habia ni carreteras ni hospitales ni me	non-sexist
58	 Final Champions League  Libertadores y Sudaca  Tour Giro y vuelta   Wimbledon   Super Bowl 	non-sexist
59	  Tu eres una puta sentenciada y estas con concha en el congreso Mentiste en tu cv y a las justas terminaste primaria No te hagas la santa hipocrita de cuarta	sexist
60	     Distingues entre una violaci n o entre un acoso laboral o lo metes todo en el mismo pack Cuando te meten mano o te proponen en el trabajo no te ponen una navaja en el cuello T  eliges si es conveniente o no y de esa elecci n corre	non-sexist
61	          Co o que callados est is 	non-sexist
64	  c llate puta Aprende a hablar y blanqueate el hocico  	sexist
66	Calmados no se amontonenpinches nacos frijoleros pikense el culo  	sexist
67	  Cuando te conozca te pego un chicle en la cara a ver si te ves alg n d a bien	non-sexist
68	      tu eres gilipollas roncero Donde est  vuestra puta factor a	non-sexist
69	Como me matas cuando te mueves as  de lento siento todo el recorrido y la presi n de tu co o alrededor de mi polla acaricias mi pecho sientes mi respiraci n agitada me voy a correr nena 	non-sexist
71	 Porque la esatua de la libertad es mujer Porque se nescesitaba una cabeza hueca para hacer un mirador	sexist
72	Comemela XDDD y la cara tambi n    No nos pasemos  	sexist
73	    c llate perra de mierda culona	sexist
74	Lo peor es que luego los lees y estos simios deformados insin an que la mujer es malvada y una zorra muajajajaja en el fondo siento lastima por estos seres	non-sexist
75	  Jajajaja vos c llate puta	sexist
76	    Callate bobo hijo de puta bestia humana lacra asquerosa izquierdistas rateros mal paridos	non-sexist
77	Eso incompatible con ser moromierda o musulmono 	sexist
78	Este g ero anotando para mi pick de  Viva Dinamarca carajo 	non-sexist
79	no entiendo eso de ense arle la polla a cualquiera de verdad no le encuentro el sentido	non-sexist
80	Me obligan a tragar polla y me mean en la cara  	non-sexist
81	      LO MAS SATURADO ES VER MI POLLA EN TU CULO AGUJEREADO	non-sexist
82	    Si estoy de acuerdo A ning n hombre le pasar a por la cabeza que una mujer es puta por subir fotos semi desnuda Libertad y respeto	non-sexist
83	  Lo peor de todo es que t  eres parte de la culpa de la destrucci n de Venezuela hijo de la grand sima PUTA y encima sigues siendo chavista MALPARIDO ahora no se valen arrepentimientos tienen  a os llevando PALO y pasando roncha y es ahorita e	non-sexist
86	Justific  la violencia a los diputados diciendo que ellos fueron a provocar podes ser tan hijo de puta marcos pe a	non-sexist
87	  CALLATE PERRA LOCA CON METERTE CON LOUIS YA ES MUCHO  TE METES CON BARDERAS	sexist
88	Yo no te discuto como sacar una muela as  que c llate la puta madre	non-sexist
89	 para que se invent  el alcohol para que las feas gordas y canis perdieran la virginidad	sexist
90	Hay mujers inteligentes si Son hombres que se han operado de cambio de sexo Al rev s no	sexist
92	Me voy a pintar el pelo g ero para que Alfredo me quiera	non-sexist
94	Ayer me estaba muriendo de una perra infecci n en la garganta y hoy me la pel  ya estoy mejor 	non-sexist
95	  Y tu eres la amiga perra que me lo va mamar a espaldas de ella estupida	sexist
96	JODER ME CAGO EN LA PUTA QUE ROBO RAOUL SE LO MEREC A JODER  	non-sexist
97	Se lo ha ganado a pulso y ha sido muy comedido Ese musulmono o se lo piensa la pr xima vez O le dan otra mayor 	sexist
98	As  que t  eres el hijo de puta que se est  comiendo todos los  us Vente que vamos a hablar 	non-sexist
99	    with getrepost   besos de mezcal pa  el G ero  feliz viernes 	non-sexist
100	  JAJAJAJAJAJA El multitasking es lo de hoy Perra en Instagram emo en Twitter rid culas por Facebook y divas en WhatsApp todo a la misma vez y sin mezclar historias	sexist
101	      Callate la puta boca resentido y la proxima ves busquen vaselina porque no queremos hijo	non-sexist
102	 el desnudo siempre ha formado parte del arte  el arte es super relativo  callate la boca de una puta vez 	non-sexist
103	Si maltratas a un animal sos un hijo de puta y te merec s vivir de la peor manera	non-sexist
104	  Lastima callate zorra	sexist
105	  Merecias ser ahogado hijo de perra pero mildis	non-sexist
107	  Siempre te hago el aguante callate m a si perra	sexist
110	Mirna para algunas feministas celebrarle un vestido a una mujer es acoso ojo ah       	non-sexist
111	   habemos muchos hombres en contra del acoso eso s  no todos lo expresamos desde el prejuicio sexista Su respuesta se ganar  aplausos y likes de los bienpensantes pero en ciertos pasajes no representa m s que el extremo opuesto de la desastrosa columna de Caballero	non-sexist
112	Mujer B same una vez y te pertenecere para siempre Hombre Ostia Gracias por la advertencia	sexist
113	    Ay c llate perra	sexist
114	Llamar  mala puta  a una mujer es denominado  poema sat rico  Siento verdadero asco de o r leer y ver este tipo de ataques a diario a   en los medios proindependentistas Necesitamos m s que nunca     	non-sexist
116	   a os jugando a la Play le ense aron bastante Que hijo de remil puta	non-sexist
118	Apartas el tanga a un lado posas mi polla en tu co o y te dejas caer despacio meti ndola entera que placer me da sentir como aprieta tu co o durante todo el recorrido baja nena 	non-sexist
119	  Callate perra yo hago lo que quiero	sexist
120	me acaban aqui de ense ar al ni o polla o deberia decir PRINGADO DE LA VIDA Q LO UNICO Q HA HECHO EN SU VIDA indirectamente ES TENER UNA POLLA GRANDE QUE PUTO ASCAZO NI O	non-sexist
123	  T  eres mi perra  yo qu  culpa	sexist
124	acabo de ver a una se ora igualita a lupita d alessio y dije fue como OMFG IS DAT LA LEONA DORMIDA O NOMAS OTRA SE ORA G ERA	non-sexist
125	  JAJJAJAJ c llate perra  me lo dijo por otra cosa no x eso	sexist
126	EL ORGULLO QUE SIENTOES INMENSO SOS  NICO Te lo re mereces porque sos un actorazo de la puta madre 	non-sexist
129	  Vete a tomar por culo gilipollas tu Felipe tendr as q estar en la puta mina y c llate la boca Que no tienes ni idea aqu  en Espa a sigue estando la misma puta dictadura solamente que adornada con consumismo	non-sexist
130	  eres una basura de persona lo cual no me sorprende porque eres SUDACA y asi son los tercermundistas	sexist
131	Callate por zorra le dice Dami n jajajaja	sexist
132	Te ida del orto me dice el cara de artesan a prehisp nica Segu s siendo sudaca amigo por algo no podes irte a tu alemania natal 	sexist
133	En Ceuta hay una monta a que simboliza todo lo que ocurre a ambos lados de la valla PERFILADA en la roca con el busto 	non-sexist
135	 Aqu  es la oficina de atenci n contra el racismo Claro que s  p sele pinche indio prieto sarrapastrozo ahorita lo atendemos primero que pase el g ero	sexist
136	  el simio fuenlabre o al cual tengo que ver m s a menudo Eres un t o de puta madre y te mereces lo mejor del mundo Espero que en  te vaya todo de lujo y empieces por la puerta grande	non-sexist
137	  CALLATE QUE MA ANA NOS VEMOS PERRA	sexist
139	Me pone mal verte mal pero no por mi sino por vos LA PUTA MADRE TE mereces el cielo no te quedes en una nube sola	non-sexist
140	 manteros saltaron la valla en Ceuta el otro d a 	non-sexist
142	  Que te calles ya pesao ACEPTALO DE UNA PUTA VEZ Y dejalo ya en el pasado pide disculpas y ya conbio	non-sexist
143	  Lucas callate que no lees dm nunca la puta que te pario ahre	non-sexist
144	C mo me atraen las g eras 	non-sexist
145	pero callate puta no nos vemos hace meses y ahora que me voy me quer s ver ME CAES MAL AGUSTINA 	sexist
146	    Tu eres el gilipollas que no has tocado un libro de historia en tu puta vida y vas de listo sin saber de lo que hablas	non-sexist
147	 Esto podr a explicar el brutismo caribe o y el subsahariano  Habr  correlaci n  Extreme heat linked with reduced cognitive performance among young adults in nonairconditioned buildings 	sexist
148	Me encantaria darte unas nalgadas ricas    A m  me encantar a pegarte una hostia en la cara 	non-sexist
149	Porque las mujeres ven las peliculas porno enteras Porque se creen que al final se van a casar o algo	sexist
150	Porque andan llamando gata zorra o puta a baekhyun si es hombre manga de ridiculas	non-sexist
151	es una chinguita hacer tamales refunfu a mi sirvienta la di dora c llate o te van a salir agrios le digo bueno para qu  les cuento a ustedes fresitas que fueron a la universidad qu  van a saber de hacer tamales 	non-sexist
153	    Co o hay una GRAN cantidad de v deos porno amateur y son bastante buscados la verdad porque son chicas normales la gente se imagina su vecina su amiga etc Bueno pero  que tiene que ver Habl is del porno como tal no de sus cir	non-sexist
154	  No nos confundamos muchas mujeres posan de victimas de acoso solo con una mirada rid culas  estas se habr n comparado con lo que sufrieron las guerrilleras en las Farc por ejemplo	sexist
155	Venga si comemela xddd	non-sexist
156	  C llate puta Katy Perri de los xiniyos y nunca mejor dicho	sexist
158	  JAJAJAJAJAJA callate Mica zorra	sexist
159	      Uno mas imb cil dir shasta la polla ya estaba la gente con las payasadas de Alves y neymar	non-sexist
160	Si Dios maldijo a Eva porque se comi  una manzana imag nense lo que va a hacer cuando se entere de que andan de borrachas y de putas todos los fines de semana  LAMENTABLE	non-sexist
162	QUE NO SON NI LAS OCHO DE LA MA ANA CALLATE Y ECHATE A DORMIR EN VEZ DE HABLAR DE LA PUTA ESPICHA	non-sexist
163	  y   est n deseosos de ayudar a los moromierdas que llegan en oleadas a violar todas las mujeres y ni os que puedan Y oye si se legaliza mejor  eh      EL PROBLEMA ES QUE ESTO NUNCA LES PASA A SUS HIJOS Y NIETOS LASTIMA 	sexist
164	El Director General de la Guardia Civil recorrer  esta tarde la valla que fue asaltada en Ceuta   A BUENAS HORAS MANGAS VERDES 	non-sexist
165	  Tu eres zorra amiga jajajajajajajaja	non-sexist
166	ODIAME ERO AL MIRARTE A UN ESPEJO RECUERDA YO SOY AGIL Y ATRACTIVA TU ERES UNA PUTA CERDA	sexist
167	        Y estos son los hijos de puta que van a luchar contra la violencia que ejercen contra las mujeres Es que no me troncho porque NO TIENE NI PUTA GRACIA 	non-sexist
169	Lo malo del tema de acosos sexual que se da en TODOS lados  es simple  abuso f sico violaci n o coacci n son un delito  PERO El coqueteo insistente o torpe no lo es ni es la caballerosidad una agresi n machista  Pero la exageraci n sensacionalista es lo de hoy  no	non-sexist
172	De regreso al trabajo En cancha para Univisi n Deportes en el Am rica vs Veracruz  Se acab  hasta la melena g era Ah  nos escuchamos hermanos  	non-sexist
173	  yo se q soy la persona indicada para estos momentos no te lo mereces pero sos mi hermano hijo de mil puta ahi t hablo	non-sexist
174	Hablemos de la paliza al turista americano por manteros subsaharianos  esos que entran echando cal viva a la guardia civil   no mejor volvemos a lo de Franco que fue muy malo y evit  muchas checas y gulags si no llega a levantarse en esa an rquica Espa a  	sexist
175	  Callate que vos ni rollos tienes che puta	sexist
177	La introducci n de los discursos de disculpa de los acusados de acoso sexual este a o 	non-sexist
180	una chica dijo que no le gustaron los chistes sobre acoso y violaci n en el video de Rub n y esto le contestaban algunos de sus fans 	non-sexist
181	La zorra se queda callada porque sabe que mi combo es puro power 	sexist
182	  comemela hso y si cojemos ahi nomas no pasa nada ahre	non-sexist
183	  C llate que la que clava el visto sos vos Zorra 	sexist
184	  comemela lindo JAJAJA	non-sexist
187	Te puedo tener todo el respeto del mundo pero esque con una puta voz que me des ya no te lo mereces Entenderlo respeto por respeto	non-sexist
189	    C llate zorra priista	sexist
190	Mira   en un futuro busca trabajos en los que te quieran pORQUE NO MERECES ESTA PUTA MIERDA DE TRATO	non-sexist
191	Transparencia Venezuela Cuando un indocumentado pasa de reposero y chocador de autobuses del metro a manejar la pol tica econ mica del pa s que hugo ch vez ya hab a destruido tenemos el resultado de la Vzla completamente destruida	sexist
192	Ultra pendeja este ciudadano com n teatro le bajo pelotudis esposelo y  horas al calabozo   Vago indocumentado 	sexist
194	Muchas personas creen q una mujer es abusada o acosada por ir muy descubierta pero yo he visto acoso a mujeres por lo contrario tambi n mujeres cuya religi n o creencias son otras y son acosadas por eso Eso demuestra q hay un standard t cito d mujer y q se espera sea cubierto	non-sexist
195	JACKIE Y HYDE MERECIAN ESTAR JUNTOS LA PUTA MADRE QUIERO ROMPER TODO	non-sexist
197	 BUENO Y TU ERES UNA PUTA ARRASTRADA Laidy G mez carg  contra Guanipa y lo tach  de divisionista  v a  	sexist
200	cuando no tengo a nico mi novia es mi perra 	sexist
202	El acoso sexual empieza a destaparse en la industria musical poderoso magnate acusado de violaci n por varias  	non-sexist
204	No puedo con lo que dice la canci n de  que perra mi amiga  y t  eres perra l drame 	sexist
205	  No todos tenemos tus ma as zorra	sexist
206	  Deja de provocarme maldita perra	sexist
207	Joder Nagore c llate de una puta vez pesada de los cojones ay dios la odio por qu  tan tonta diooos espero que no me denuncie y vaya a la c rcel por esto Nagore vete a llorar al Deluxe por tu nariz  	non-sexist
209	Que cuza antes la calle una mujer inteligente o una tortuga vieja Una tortuga vieja porque las mujeres inteligentes no existen 	sexist
210	Pero imbecil no ves que no haces reir a nadie jala bolas callete quedate como muerto escoria 	non-sexist
211	  C MO QUE TE FOLLAS A UNA PERRA Y OLVIDAS SU NOMBRE S  beb  me gusta mucho tu ingl s podr as ense arme un poco	sexist
219	  O el de los flacos cuando te vienen a decir de todo o sea si tu novia es una zorra problema de ustedes no mio	sexist
220	        Callate puta	sexist
221	La falsa portada de la falsa revista dice Pop Singer Puta  no hubo imaginaci n ni para inventarse un nombre que rimara con Britney Spears  Linsdsay Steers Whitney Beers Shitney Shits	non-sexist
223	 Qu  actor pudo ser un gran   g ero en el Universo Extendido de DC Checa nuestro video y ent rate de nuestras opciones  	non-sexist
224	   noo callate perra que estoy buscando algo para poder dormir jajaj	sexist
226	Hay racismo cuando no creen que soy su hermana porque soy g era     	sexist
227	Si lo que esta sosa busca es provocar lo consigue Es muy zorra 	sexist
228	igual posta odio los pies capaz tenes pie feo y me jodes apoyandomelo en la cara y te pego un hachazo	non-sexist
230	        C llate Perra mal parida de Juan y kim no hables	sexist
233	Los que asaltaron la valla de Ceuta con lanzaLlamas y con cal viva    Tambi n son victimas 	sexist
234	Confundes reina con zorra pf C llate antes de que te arranque la peluca	non-sexist
235	    Te mereces quedarte sin nada Tu crees que si a la mujer que yo quiero le llamaran puta yo no me iba a levantarY ADEMAS QUE MAS DA SU TRABAJO VAMOS A VERERES UN COBARDE Y UNA MIERDA DE TIOQue decepcionmas vale quedarte	non-sexist
236	es una puta gilipollez alarmarse asi enserio que hay de malo no esta desnuda no tiene nada que ense ar por que tanto revuelo Para eso puedes poner ropa a tu pj si tanto te molesta verle desnudo un poquito de logica	non-sexist
238	  Ya ni me hables de esa escoria aunque no todos son malos	non-sexist
239	      Tu no te mereces q yo me esfuerce en poner ni una   coma para q te ahogues al leer  	non-sexist
240	    Bobo hijo de perra usted cree que va a ense arle a Messi o llega a aprender del m s grande	non-sexist
241	  comemela tu a mi mamon XDDDD	non-sexist
242	La mina tambi n bastante puta Onda la que esta de novia es ella no el  	sexist
244	Hola soy TraedRuffles tu novia es una puta me acabo de pasar el Tekken con Casemiro re dme las gracias por favor	sexist
245	Desbloqueme dale zorrita Sabes por qu  te cagu  a palo Por puta te merec as la cagada a palo Lo que uno tiene que escuchar en la calle	sexist
246	    Tu eres mio puta y te callas cabron	non-sexist
247	Me gusta machin mi pelo largo y g ero 	non-sexist
248	tells my grandma me and Daniel are fighting  ayyyyy pobrecito mi hijo t  eres la perra desgraciada  	sexist
249	  te lo mereces x no bailar conmigo ayer pedazo fe puta	sexist
250	  No puedes con ese papel para ser SANTANA se requiere ser una PERRA desde nacimiento y tu eres demasiado Quinn Fabray es decir mosquita muerta  	sexist
251	  jajajajajaj soy imbecil tremeno acoso a tu tuiti pobre ajajajjaa yo  	non-sexist
255	  callate se me ve perfecta perra	sexist
256	        Callate hijo da puta	non-sexist
258	  abusaba de  l es una zorra merec a morir	sexist
259	 Qui n les ense ar  a los hijos fe puta a ser hijos de puta	non-sexist
260	Os hab is dado cuenta de que podr ais pintarle una polla en la cara a un vampiro dormido y se pasar a meses con ella	non-sexist
264	Todos los pueblos TODOS Tienen Dcho a la LIBREDETERMINACI N  Que a estas alturas tenga que aguantar a un Chileno indocumentado que  viniendo de donde viene pretende negarme mi leg timo Dcho a la LIBREDETERMINACI N es el ACABOSE El colonialismo de proximidad tb se acaba	sexist
265	ALLANARON la oficina de Thomas ex de EBY en la propia Central A nuestra CGR nunca dejaron entrar porque es bilateral    sin ver papeles y ahora se destap  esc ndalo de corrupci n Van a seguir igual con este FATO FEROZ   y   	non-sexist
266	feliz cumplea os franchute moracrema   	non-sexist
267	  se or presidente me robaron los tapones de mi auto A las afueras de suburbano de lecher a  Llegu  entre  pm y hab a combis y el indocumentado de labios prominentes El cual ya he visto como roba autopartes y las patrullas no hacen nada Hoy me toc  a m 	sexist
268	    T  lo lo  nico que te mereces es lo que comes puta bafofia a parte igual tambi n dos ostias a ver si espabilas	non-sexist
270	  Como escuece perro Vete a chuparla a Artur M s o a tu Puta madre ya y callate	non-sexist
271	Cuando Albiol deje la pol tica le pueden contratar como director de Okdiario porque lo de inventarse cosas y difamar se le da de puta madre	non-sexist
273	  oNuevoEnCombate zorra callateeedd 	sexist
274	  Pelotuda deberiar juzgarte x abandononde persona Hija de puta no mereces tener hijos Ojala sigas siendo una gorda pedorra	sexist
275	El g ero de fiesta jajaja el problema no fue animarlo sino despu s calmarlo   	non-sexist
276	ESTOY ENAMORADA DE COMO SUENA LA VOZ DE CAMILA EN CROWN ESTA MUJER ES ARTE LA PUTA MADRE	non-sexist
278	DEJA DE TUITEAR HIJA DE PUTA ESCUCHA LOS ARGUMENTOS QUE LUEGO TE VAS A QUEDAR CALLADA FUJIMIERDA DEL CARAJO 	sexist
280	        Y tu eres mi esposa ve a la cocina zorra v	sexist
281	me puse un vestido con escote y mi mama dizque preciso hoy le da por vestirse como zorra jajsjajs tan linda ella como siempre	sexist
283	ajsjsjdks mi mam  me vino a ense ar su delineador y yo que perra que perra que perra mi amiga y se ENOJ  wtf gabriela es buen plan	sexist
284	Solo los putos chairos ignorantes y los sudacas resentidos pueden idolatrar a un personaje tan deleznable  Ez el inperio yanki kiere el petrolio de Venezuela	sexist
285	Mi hermana est  escuchando la puta BSO de Guardianes de la Galaxia cuando vence Star Lord a Ronan LA ESTOY ENSE ANDO BIEN	non-sexist
286	Por violaci n y Acoso sexual 	non-sexist
287	    Puta el weon hincha pelotas Criticas a   por su programa pero tu eres panelista en Primer Plano EN PRIMER PLANO PO WEEEOON Chanta	non-sexist
288	    Porque no tiene la menor empat a con v ctimas de acoso ni de violaci n y porque defiende un derecho autoinventado del hombre de hacer con las mujeres lo que les d  la gana	non-sexist
289	Te amamos pinche g ero de mierda 	sexist
290	 C mo  llor ndole  intentando hacerle un chantaje emocional  soy tu hermano mayor as  que c llate la puta boca y obedece ups se le escap  	non-sexist
292	  Pero c llate hijo de puta debe de paliar m s que vos el	non-sexist
293	Le he comprado un collar a mi esposa Co o pues yo todav a la tengo suelta	sexist
295	Ac  es como que vas al club a tomar algo y si o si tenes que cruzar a sudaca para qu  tal est  	non-sexist
297	  REENCUENTRO LA PUTA MADRE DISFRUTALO MUCHO LO RE MERECES AMIGA	non-sexist
299	  Aqui son acosadores porque les mandan un dm las har a hablar con una victima de acoso o violaci n a estas infradotadas para que dejen de hablar estupideces Asco me dan como mujer	non-sexist
300	  C llate perra y ven a calentarme que hace fr o PD Te extra o	sexist
303	Cuando un hombre mata a una mujer es un hijo de puta pero cuando una mujer mata a un hombre le tiran alagos solo por ser mujer y tener un buen cuerpo	non-sexist
304	  Ahora si que parafraseando ya callate maldito animal pendejo viejo hijo de puta arrastrado viejo pedorro mequetrefe gorrino cagada v bora prieta tepocata y de nueva cuenta TU CHINGADA MADRE ESCORIA SE TE VA A QUITAR LA PENSI N	non-sexist
305	  Mira hydrox de los cojones se me est  inflando la puta panocha ya c llate un puto mes cabezabunque	non-sexist
306	Cuantos operarios hacen falta para limpiar una cocina Ninguno eso es cosa de mujeres   llateYfriega	sexist
307	  Ute tranquila m  amiga me oio Si quer s que no te joda la vida te quedas callada perra hijaeputa y p same el abon candesita Cuale son tus cosquillas nene	sexist
308	Estos imb ciles HDLGP de Alianza Pa s no trabajan y no dejan trabajar son una maldita escoria 	non-sexist
311	      C llate perra	sexist
312	  si a mi me dicen mardita hubiese dicho yo si mi amor como una real perra pero tu eres nula as  que te prestare mi tarjeta para que te compres una personalidad	sexist
313	  T  eres la malagua celulitica puta barata 	sexist
314	      Tu eres putatienes maridos seguro	sexist
316	MI GANADORA GRACIAS TE LO MERECES ERES LA PUTA VOZ     	non-sexist
317	  CALLATE PUTA CHORRA ASESINA TRAIDORA A LA  PATRIA	sexist
319	  C llate y resp ndeme perra	sexist
320	Lo vuelvo a mencionar porque es que me cabrea mucho que por gilipollas que tienen que hacer putas tonter as se mueran animales sin necesidad y las familias tengan que pasar por eso porque es que le pasa a mi perra y os pego yo el petardazo en la cara hijos de puta 	non-sexist
321	No hay suficientes m dicos espa oles aqui en espa a que tienen que venir sudacas aqu  a trabajar manda cojones	sexist
322	    Ni tas trabajando perra callate	sexist
323	        La escoria de la ciudad son los puestos ya no son ambulantes ya estan fijos los imb ciles	non-sexist
327	Y t  eres una perra como dice Joss Stone 	sexist
328	Y tu eres perra	sexist
331	  no u callate cono perra yana	sexist
332	    hijo de perra Por supuesto no lo har a solo el muy bastardo se lo merec a por intentar siempre menospreciarle  Si los golpes no funcionaban habr a de intimidarlo a n de la manera m s repugnante  	non-sexist
333	Independiente se lo merec a   son cagones son putos y si son unos brasileros hijos de puta	non-sexist
334	Btw si a n no han ido cuando tengan oportunidad vayan a los cantaritos  El G ero  se enfiesta uno con mami y est n lo m s delis	non-sexist
336	  SIEMPRE dijiste lo que pensabas nunca fuiste por atr s tenes una humildad de la puta madre sos incre ble y te lo merecias	non-sexist
337	  Que voy yo y te pego con un pene en la cara cabrona	sexist
338	  Cobarde  Con un arma se cree poderoso Imb cilOjal  te metan preso Escoria humana 	non-sexist
339	harassand Pepe querido no te merec as el maltrato de esta puta  	sexist
341	La puta madre el amor que siento por mi novia es increible seguro me muero de diabetes 	non-sexist
343	La queja del hombre y de la mujer es universal y del mismo tipo pero la de la mujer es m s notable y se la tilda de puta resentida	sexist
344	Me mama cuestionar a mis profesores  no sean pendejos y sepan que est n ense ando no se aprendan una puta gu a 	non-sexist
345	Falta que aparezca puta publicando feliz d a de Reyes y suba una foto ense ando el culo	sexist
347	Por que las mujeres tienen cuatro labios los dos de arriba para decir tonterias y los dos de abajo para arreglarlas	sexist
348	  Que s  que el acoso y la violaci n est n mal pero que no hay situaciones que no son acoso y est  mal que quieran ampliar su su significado hasta que abarque cualquier cosa que es para donde van 	non-sexist
349	  C LLATE PUTA YA VAS A VENIR POR MI CONOCIMIENTO EN PEDAGOG A	sexist
350	  Como pueden permitir eso Si fuera una hermana o hija de agun manifestante Tambien se manifestarian para sacar a ese violador de la carcel	non-sexist
352	    perra estupida ahora tu eres la gorda	sexist
353	QUE ASCO VER LA    SIN TRAPOS CON ESTADIOS VAC OS Y EQUIPOS LLENOS DE SUDACAS PETARDOS	sexist
354	Va una mujer tonta valga la redundancia	sexist
356	NO huyen de ninguna guerra cuando huyes de una guerra no vuelves a tu pa s de vacaciones con las ayudas del estado espa ol Pero que no es nada nuevo casi la totalidad de las mujeres sirias llevan velo cuando Siria es un pa s cristiano 	sexist
357	    C llate puta	sexist
358	  C LLATE NADIE TE PREGUNTO PERRA	sexist
359	La unica diferencia es que a ella si le importan las cosas y tu eres una PUTA	sexist
361	    As  como t  eres maric n y puta tapi ada  tu obsesi n solo produce risa	non-sexist
362	Kirei mereces una muerte lenta y dolorosa hijo de puta  	non-sexist
363	Estimado   los catalanes no tenemos genes franceses Los tenemos alemanes y t  eres un hijo de puta Documento cedido por el Institut Nova Historia o como yo los llamo  La imagen es una co a lo hijo de puta que eres no 	non-sexist
365	Detienen a tres   de la   por presuntos   a una        NO al  	non-sexist
366	      tu que eres la comepollas groupie de dellafuente o que callate la puta boca ya simio	sexist
367	yo hol todas vosotras blanca puta gilipollas hueles mal vaya pozos tu bias es hykjae eres una rata sucia callate ya	non-sexist
371	  Esta es la justicia en espa a para estos indeseables una puta verguenza	non-sexist
