	dataset	language	source	text	task1
44	SCB_ES	es	Twitter	@RosaLenColn1 @LuRiojas @Irma_Sandoval @FelipeCalderon @AristeguiOnline Aunque tus argumentos son muy d?biles, te t? https://t.co/yoo1e3ef4r	sexist
45	SCB_ES	es	Twitter	Taaaaaannntiiiitaaa Madreeee Sria haga su trabajo ???????????	non-sexist
46	SCB_ES	es	Twitter	@Irma_Sandoval Oye Corrupta, si has visto que en esa herencia neoliberal  se encuentra @lopezobrador_ ,? https://t.co/ggflSWYYlh	sexist
47	SCB_ES	es	Twitter	RT @YordankaGiraldo: @m_ebrard O sea, est?s diciendo que el Gobierno de los ???? siempre ha tenido en sus manos el poder de detener el trasie?	non-sexist
48	SCB_ES	es	Twitter	@M_OlgaSCordero @SEGOB_mx @Silvano_A @Ricar_peralta Hip?critas p?nganse a trabajar !!! Gobernador huev?n y mafioso.	non-sexist
49	SCB_ES	es	Twitter	@Reforma @M_OlgaSCordero Crisis?	non-sexist
50	SCB_ES	es	Twitter	RT @CONCAMIN: Concluimos la #RAI2019 #CONCAMIN en presencia de Alfonso Romo de la oficina de Presidencia, Graciela M?rquez de @SE_mx y @M_O?	non-sexist
51	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Actualmente Facebook tiene 2,300 millones de usuarios regulares, lo que motiv? a consultarles si podr?an incrementar la?	non-sexist
52	SCB_ES	es	Twitter	@m_ebrard Se?or @m_ebrard Vot? por #Amlo sin embargo creo absolutamente en las palabras que dijo @FelipeCalderon ha? https://t.co/JN3I31q9ql	sexist
53	SCB_ES	es	Twitter	no se debe utilizar la amnist?a para resolver problemas que el sistema de justicia ha generado. Se busca resolver p? https://t.co/ya71teuThl	sexist
54	SCB_ES	es	Twitter	"RT @adri_rojas74: Cu?nta raz?n tienes @M_OlgaSCordero esto ya es algo de todos los d?as...?para qu? hacer algo al respecto?

Enfrentamiento?"	non-sexist
55	SCB_ES	es	Twitter	Ya tengo el conocimiento que fue interpuesta una causa en la comisi?n de derechos humanos de la Onu aca en M?xico..? https://t.co/sdfwyUbqM3	sexist
56	SCB_ES	es	Twitter	"RT @RepDeFiFidonia: #RetoGIFiFi - @M_OlgaSCordero

Contexto: Los gustos de la Secretaria por las ""plantas arom?ticas"".
Misi?n: Ayuda a la s?"	non-sexist
57	SCB_ES	es	Twitter	RT @tatclouthier: @m_ebrard Nuestro cari?o Marcelo.	non-sexist
58	SCB_ES	es	Twitter	"""M?xico ya abandon? la idea del da?o colateral"", dijo @m_ebrard en #Oaxaca, donde acompa?? al Presidente? https://t.co/TaGIfMXquJ"	sexist
59	SCB_ES	es	Twitter	RT @BoultBELLA: @luis_journalist @LopezCasarinJ @m_ebrard @Claudiashein @fmpt_cdmx @SGarciaSoto @julioastillero @lopezobrador_ @Irma_Sandov?	non-sexist
60	SCB_ES	es	Twitter	"Jajajajajjajajajajajajajajajajajajajajaajajajajajajajajjjajajajajajajajajjajajajajajaja...
Ahora si le peg? duro el? https://t.co/YvcKxZhfOd"	sexist
61	SCB_ES	es	Twitter	"RT @jhmm61: ... y parec?a que la .@SCJN ten?a buenos .#Mexicanos Se confirma que solo puro ""pndj"".!!
.@M_OlgaSCordero .@ArturoZaldivarL .@Y?"	non-sexist
62	SCB_ES	es	Twitter	@CiroGomezL @Silvano_A @M_OlgaSCordero @AlfonsoDurazo no que muchos huevos contra la impunidad?. Ni sus luces se vi? https://t.co/F8ECGODSPq	sexist
63	SCB_ES	es	Twitter	Damos,se las dan s?lo los de MORENA,los mexicanos bien nacidos no.	non-sexist
64	SCB_ES	es	Twitter	RT @senadomexicano: @CNDH @kenialopezr ?? Debido a que en dos rondas de votaci?n por c?dula no se obtuvo la mayor?a calificada, se realizar?	non-sexist
65	SCB_ES	es	Twitter	Ora carajoooo! mientenles su madre pa' que les duela mas... Ontan pues: @lopezobrador_ , @AlfonsoDurazo,? https://t.co/t3y2eFs8tN	sexist
66	SCB_ES	es	Twitter	@gerardo_daniel @GlodeJo07 @M_OlgaSCordero En 2020 le terminar? de caer el veinte a los a?n feligreses que prefiere? https://t.co/2uoEqFnJZm	sexist
67	SCB_ES	es	Twitter	RT @m_ebrard: Le? la informaci?n que publica Dolia Est?vez respecto a Victor Alberto Barreras.Estoy ordenando que el Comit? de Etica de la?	non-sexist
68	SCB_ES	es	Twitter	"RT @Berkbekir_: "" Mi esposo Osman Karaca, ciudadano mexicano, fue secuestrado por la polic?a camboyana en conspiraci?n  con la Embajada Tur?"	non-sexist
69	SCB_ES	es	Twitter	@lopezobrador_ @m_ebrard   que hip?critas son!!!	non-sexist
70	SCB_ES	es	Twitter	RT @rocionahle: En coordinaci?n con parte del gabinete del ?@GobiernoMX?  para analizar temas en conjunto.  Con la secretaria de Gobernaci?	non-sexist
71	SCB_ES	es	Twitter	"Como dir?a @M_OlgaSCordero y @lopezobrador_ ""Es normal, fue un enfrentamiento feliz feliz feliz"" puras balas de ale? https://t.co/01H2APORAt"	sexist
72	SCB_ES	es	Twitter	"RT @MissFernandaMex: ?Y luego? ?Les aplaudo? ?Los felicito? Dejaron ir al narco. Pueden guardar las im?genes en la carpeta llamada ""basurer?"	non-sexist
73	SCB_ES	es	Twitter	RT @inmujeres: Nuestro compromiso es que ninguna ni?a o mujer se quede atr?s, ni se quede fuera del bienestar, la inclusi?n y la igualdad.?	non-sexist
74	SCB_ES	es	Twitter	@PRlNCIPEDRAEGON @LoraBo1105 @lopezobrador_ @M_OlgaSCordero @AlfonsoDurazo gobierno de in?tiles, las consecuencias de no saber gobernar	non-sexist
75	SCB_ES	es	Twitter	RT @m_ebrard: En este momento hay que cerrar filas,respaldar al Presidente L?pez Obrador sin mezquindades y alentar a nuestro Ej?rcito y Gu?	non-sexist
76	SCB_ES	es	Twitter	@PazAmlove @Everard77940856 @lopezobrador_ @AlfonsoDurazo @FGRMexico @AlmiranteSrio @Luis_C_Sandoval? https://t.co/SVuC0gOGRe	sexist
77	SCB_ES	es	Twitter	RT @m_zamarripa: @m_ebrard Mis m?s sentidas condolencias por tan sensible p?rdida. Un fuerte abrazo a ti y toda la familia. Lo siento mucho?	non-sexist
78	SCB_ES	es	Twitter	RT @MD_HO_DrAaronFC: Aqu? el desertor de la @SEDENAmx que traicion? y dio informaci?n de todos los soldados que hab?an detenido al Chapito?	non-sexist
79	SCB_ES	es	Twitter	RT @elsyamada: @eccehomo777 @lopezobrador_ @M_OlgaSCordero @tepjf @INEMexico @martibatres @fernandeznorona @CelesteSaenzM @julioastillero @?	non-sexist
80	SCB_ES	es	Twitter	RT @mcmaricarmen: Si Estados Unidos no pone ning?n l?mite a la venta de armas en su pa?s  ?va realmente a poder congelar el tr?fico il?cito?	non-sexist
81	SCB_ES	es	Twitter	RT @jenarovillamil: #ConferenciaPresidente. Solo faltan 5 estados para formar sus comisiones anti-desaparecidos, afirma la ministra @M_Olga?	non-sexist
82	SCB_ES	es	Twitter	@m_ebrard Mis sinceras condolencias	non-sexist
83	SCB_ES	es	Twitter	RT @4TLyF1: @Ricar_peralta @M_OlgaSCordero @Mx_Diputados @lopezobrador_ As? que si dice Usted @Ricar_peralta  que la Mtra. @M_OlgaSCordero?	non-sexist
84	SCB_ES	es	Twitter	RT @anakes_angel: @BereniceDiazG @lopezobrador_ @AlfonsoDurazo @M_OlgaSCordero ah? es donde debe estar nuestra Guardia Nacional/ICE/Migra	non-sexist
85	SCB_ES	es	Twitter	@alvez_rebeca @MChavez4 @FOXSportsArg @m_ebrard @lopezobrador_ Por supuesto, y desapruebo esa conducta. Tmp creo qu? https://t.co/WeUfFd7OuI	sexist
86	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Env?o mis m?s sentidas condolencias a los familiares de los polic?as Luis ?ngel Carrillo Rojas; Marco Antonio Gonz?lez?	non-sexist
87	SCB_ES	es	Twitter	El lamento no es suficiente!!! Su incompetencia es evidente. Haga algo por Mexico ???? y renuncie al cargo,,,	non-sexist
88	SCB_ES	es	Twitter	RT @LeonKrauze: Culiac?n y la raza negra. Aqu? @JorgeGCastaneda sobre las ABERRANTES declaraciones racistas de Gardu?o, el hombre que dirig?	non-sexist
89	SCB_ES	es	Twitter	"RT @PRlNCIPEDRAEGON: ??RENUNCIEN @lopezobrador_ @M_OlgaSCordero @AlfonsoDurazo HIJOS DE SU PUTA MADRE??

?? M?xico se desangra en manos del as?"	non-sexist
90	SCB_ES	es	Twitter	@M_OlgaSCordero @lopezobrador_ Lo que ha hecho el presidente es dividir al pueblo y se?alar a quien no piensa como? https://t.co/uVE6d1GkeM	sexist
91	SCB_ES	es	Twitter	RT @4TLyF1: @Ricar_peralta @M_OlgaSCordero @Mx_Diputados Cuando se habla debe uno ser responsable de lo que se dice @Ricar_peralta y no eng?	non-sexist
92	SCB_ES	es	Twitter	"RT @4TLyF1: @M_OlgaSCordero @Mx_Diputados @Laura_Rojas_ @lopezobrador_ TENDREMOS RESPUESTAS MTRA. @M_OlgaSCordero 
@Ricar_peralta 
M?s  de?"	non-sexist
93	SCB_ES	es	Twitter	RT @flacuchiruda: #LoImpresentable de #TODOCOYOACAN puros #RATEROS buscando hueso mira @lopezobrador_ @BerthaLujanU @martibatres @Claudiash?	non-sexist
94	SCB_ES	es	Twitter	RT @Irma_Sandoval: Nos alienta y exige m?s tan positivo resultado de la evaluaci?n ciudadana. A redoblar los esfuerzos en la acci?n contra?	non-sexist
95	SCB_ES	es	Twitter	"RT @rberistainm: Anciano tarde o temprano la vida te cobrar? muy caro estas estupideces
@lopezobrador_ 
@M_OlgaSCordero @JesusRCuevas 
http?"	non-sexist
96	SCB_ES	es	Twitter	RT @GlodeJo07: Buenos d?as @m_ebrard no s? si est?s enterado pero tu nuevo C?nsul est? acusado de haber abusado sexualmente de un menor de?	non-sexist
97	SCB_ES	es	Twitter	No se debe utilizar la amnist?a para resolver problemas que el sistema de justicia ha generado. Se busca resolver p? https://t.co/ya71teuThl	sexist
98	SCB_ES	es	Twitter	RT @hollyhooney27: @YaskadeF @A_Encinas_R @FGRMexico @FGEQuintanaRoo @NESTORASALGADO1 @CitlaHM @M_OlgaSCordero @SNietoCastillo @Irma_Sandov?	non-sexist
99	SCB_ES	es	Twitter	@m_ebrard Soy su fan! Hombre congruente y de principios! ?????????? Bravo! ??????	non-sexist
100	SCB_ES	es	Twitter	"@M_OlgaSCordero 
Buenos d?as.
Estimada servidora publica, en M?xico somos m?s del 80% de personas con principios cr? https://t.co/wWvQ1Rn19i"	sexist
101	SCB_ES	es	Twitter	@M_OlgaSCordero @lopezobrador_ Tu y L?pez v?yanse ALV a CHSRPM	non-sexist
102	SCB_ES	es	Twitter	"@77_raiders @gongalery @M_OlgaSCordero Alguien sabe si los asesinos esperaron a los refuerzos que iva a decirles ""? https://t.co/1WLIM9ZSVv"	sexist
103	SCB_ES	es	Twitter	RT @omarfayad: Gracias estimada amiga y maestra @M_OlgaSCordero; sin lugar a duda tu respaldo hacia la ni?ez de M?xico es evidente. Sigamos?	non-sexist
104	SCB_ES	es	Twitter	"@ChecoAguilar69 @ChairosY @jose_anton @M_OlgaSCordero @lopezobrador_ ""A ver qu?..."""	non-sexist
105	SCB_ES	es	Twitter	@m_ebrard Mi mas sentido p?same a usted y su familia.	non-sexist
106	SCB_ES	es	Twitter	RT @SRE_mx: ?? Se re?nen el secretario @m_ebrard y el ministro de Asuntos Exteriores de la Rep?blica Checa, @TPetricek, para revisar la agen?	non-sexist
107	SCB_ES	es	Twitter	RT @hdemauleon: Aunque usted no lo crea, los paladines de la 4T acaban de descubrir que s? hacen falta los albergues que ellos mismos se en?	non-sexist
108	SCB_ES	es	Twitter	@m_ebrard @wilmaml3 No mienta, L?pez no habla ingl?s y le cuesta trabajo hablar y entender el espa?ol. Nada de lo d? https://t.co/RGCXD9GQrY	sexist
109	SCB_ES	es	Twitter	@M_OlgaSCordero se denuncio hace mas de un mes y ahora la Polic?a cibernetica me pregunta en donde queda eso? Pues? https://t.co/Qj05yqWO2J	sexist
110	SCB_ES	es	Twitter	Aqui estamos con @lopezobrador_ @m_ebrard @M_OlgaSCordero @SNietoCastillo @Mary_Luisa_AG @Luis_C_Sandoval? https://t.co/oOubiyNi1x	sexist
111	SCB_ES	es	Twitter	"RT @julenrementeria: Hoy la Secretaria @M_OlgaSCordero nos llama a todos al respaldar al presidente.

Secretaria:
Mi respaldo es incondicio?"	non-sexist
112	SCB_ES	es	Twitter	RT @ReziztenCIA2020: @Jerryg0096 @epigmenioibarra @EnriqueAlfaroR @EPN @FelipeCalderon @VicenteFoxQue @tatclouthier @M_OlgaSCordero @Alfons?	non-sexist
113	SCB_ES	es	Twitter	RT @JeSuis34C: @PazAmlove @lopezobrador_ @AlfonsoDurazo @FGRMexico @AlmiranteSrio @Luis_C_Sandoval @M_OlgaSCordero @fernandeznorona @DrJMMi?	non-sexist
114	SCB_ES	es	Twitter	"RT @ferbelaunzaran: Es evidente el poder absoluto de @lopezobrador_ entre sus compa?eros.

Que no insulte nuestra inteligencia, no somos pe?"	non-sexist
115	SCB_ES	es	Twitter	RT @MD_HO_DrAaronFC: Aqu? el desertor de la @SEDENAmx que traicion? y dio informaci?n de todos los soldados que hab?an detenido al Chapito?	non-sexist
116	SCB_ES	es	Twitter	@IVANGIDI @oneamexico @CarlosGidiB @M_OlgaSCordero alguien que no sabe nada de principios, de honestidad y de honor.	non-sexist
117	SCB_ES	es	Twitter	"RT @mariolobo25: Por favor ay?denme a dar RT pues dudo que a mi que soy pocos followers me responda.
@vampipe 
@ChumelTorres 
@BaksLive 
@S?"	non-sexist
118	SCB_ES	es	Twitter	Soltar al hijo del chapo significa aceptar que el narco gobierna este pa?s. O no, comandante sin bolas?? https://t.co/8pU066KaK3	sexist
119	SCB_ES	es	Twitter	@m_ebrard Y por que el siempre fue mezquino y nunca respaldo a Calder?n.	non-sexist
120	SCB_ES	es	Twitter	RT @Monicucha: La tan cacareada transparencia y OJO en temas muy sensibles y diplom?ticos. Por eso al canciller le encanta que #LordCacahua?	non-sexist
121	SCB_ES	es	Twitter	RT @lajornadaonline: Les plantea @M_OlgaSCordero a #migrantes acogerse a las alternativas de residencia en el pa?s a trav?s de diversas v?a?	non-sexist
122	SCB_ES	es	Twitter	@revistaproceso @M_OlgaSCordero @ArturoZaldivarL @FelipeCalderon @SCJN Que pena se?ora, va de ridiculo en rid?culo,? https://t.co/aso2DQAMF2	sexist
123	SCB_ES	es	Twitter	RT @cda_adria: @M_OlgaSCordero @lopezobrador_ L?pez le acaba de entregar el pa?s al narco. ?Eso es lo que quieren apoyar? https://t.co/2xYF?	non-sexist
124	SCB_ES	es	Twitter	RT @m_ebrard: M?xico avanza en la lucha por congelar el tr?fico de armas provenientes de Estados Unidos. Hoy se efectu? reuni?n binacional?	non-sexist
125	SCB_ES	es	Twitter	RT @JLozanoA: Despu?s de que liberaron a una secuestradora, se duelen de presiones. Se necesita no tener madre, en serio. https://t.co/9Dqd?	non-sexist
126	SCB_ES	es	Twitter	RT @HLGatell: Gracias Dip. Martha Tagle @MarthaTagle por impulsar con fuerza, inteligencia y elocuencia el avance de las pol?ticas p?blicas?	non-sexist
127	SCB_ES	es	Twitter	@M_OlgaSCordero @lopezobrador_ No mames florero.... Eres un asco	non-sexist
128	SCB_ES	es	Twitter	"RT @JLozanoA: Adem?s de incompetentes, indolentes. Qu? verg?enza @AlfonsoDurazo @M_OlgaSCordero ????

?Hubo estrategias equivocadas queriendo?"	non-sexist
129	SCB_ES	es	Twitter	RT @Luis_C_Sandoval: Mi m?s sentido p?same a @m_Ebrard Secretario de Relaciones Exteriores de M?xico, por el sensible fallecimiento de su p?	non-sexist
130	SCB_ES	es	Twitter	@m_ebrard Espero que en ISSSTE le  den un buen trato	non-sexist
131	SCB_ES	es	Twitter	@carloselizondom @adn40 @Raul_Feliz El analista Ra?l Feliz (como decenas de otros destacados analistas) aconseja mu? https://t.co/eKhhkdWuYr	sexist
132	SCB_ES	es	Twitter	RT @Patrici10041368: Este CONFLICTO est? violando DERECHOS HUMANOS y TODOS CALLAN .@teleSURtv @OEA_oficial @parlamentoUE @m_ebrard @Gobiern?	non-sexist
133	SCB_ES	es	Twitter	@m_ebrard Pido a Dios que no se encuentre ning?n compatriota herido o muerto y obvio ning?n otra persona.Disculpe s? https://t.co/q2e1VYm2CL	sexist
134	SCB_ES	es	Twitter	@Bitia13958475 @lialimon @M_OlgaSCordero @lopezobrador_ Todav?a salen con su PRIAN, el vejete ya no est? en campa?a? https://t.co/jL8gwoZ7gg	sexist
135	SCB_ES	es	Twitter	"RT @RoanaBuenavent1: TUITAZO .
Esa no la pens?. Pero conque t? queridoio la hayas pensado es un Hiyazo.
El Gober quirino  debe ser investig?"	non-sexist
136	SCB_ES	es	Twitter	@ElSitiodeAna @oso3339 @M_OlgaSCordero Vieja pen...a	non-sexist
137	SCB_ES	es	Twitter	@TomasCrusie @mvzdavidguzman5 @lopezobrador_ @M_OlgaSCordero @AlfonsoDurazo @SEDENAmx Siempre hay un TWEET.	non-sexist
138	SCB_ES	es	Twitter	RT @econoclasta: ?Est?n consientes @M_OlgaSCordero y @Ricar_peralta que lo que est?n haciendo, adem?s de inconstitucional (art. 5), va a fr?	non-sexist
139	SCB_ES	es	Twitter	RT @econokafka: Pejistas, ?se imaginan a un embajador de Fox, Calder?n o Pe?a con gorra del PAN o PRI? https://t.co/rBE1zKvduS	non-sexist
140	SCB_ES	es	Twitter	RT @salariodelmiedo: Ret?n de #RioGrande #Zacatecas . Polic?as prepotentes y abusivos con el conductor del autob?s. @gobiernozac  @FGRMexic?	non-sexist
141	SCB_ES	es	Twitter	@Marco_Teruggi Cu?l es el posicionamiento de M?xico ante tal situaci?n @m_ebrard @lopezobrador_	non-sexist
142	SCB_ES	es	Twitter	"Exactamente Sr. Presidente, ""TODO ESO SE TIENE QUE CORREGIR"".
La pregunta es: cu?ndo?, ya lleva m?s de 10 meses ech? https://t.co/6ikStfmmh5"	sexist
143	SCB_ES	es	Twitter	RT @M_OlgaSCordero: y dan identidad como naci?n. Este tipo de encuentros y actividades son como un respiro de aire fresco despu?s del largo?	non-sexist
144	SCB_ES	es	Twitter	@YaskadeF @FGRMexico @Mario_elcapi @Saguilar99 @VerdadCallada @Fairysoul1Lara @lepelcastre @falelo1 @raffi_too? https://t.co/sao9cukuAa	sexist
145	SCB_ES	es	Twitter	RT @jrsestaca: Y entonces no hubiera sido mejor planear bien el operativo? O no realizarlo en plena ciudad? Ahora hay que agradecerles por?	non-sexist
146	SCB_ES	es	Twitter	Cautiverio de Migrates  en tapachula es una crisis  fabricada por los estados US &amp; MX para complacer la ambici?n de? https://t.co/yU3LMMJEpb	sexist
147	SCB_ES	es	Twitter	RT @loba_indomable: Qchsm @lopezobrador_ y @M_OlgaSCordero y toda su bola de borregos que protegen a delincuentes, que estan preocupados y?	non-sexist
148	SCB_ES	es	Twitter	"RT @ferbelaunzaran: Es evidente el poder absoluto de @lopezobrador_ entre sus compa?eros.

Que no insulte nuestra inteligencia, no somos pe?"	non-sexist
149	SCB_ES	es	Twitter	RT @M_OlgaSCordero: Agradecemos a la sociedad civil, a los gobernadores, funcionarios locales y federales, empresarios, a todos y a todas,?	non-sexist
150	SCB_ES	es	Twitter	"RT @SEDECOPVer: ?? #VeracruzMeInforma: 

Asistimos a la reuni?n de trabajo, convocada por la Asociaci?n Mexicana de Secretarios de Desarroll?"	non-sexist
151	SCB_ES	es	Twitter	RT @NoticiasONU: El canciller @m_ebrard declar? que el nuevo Gobierno mexicano, iniciado en diciembre pasado, est? decidido a participar ?p?	non-sexist
152	SCB_ES	es	Twitter	Pues s?, por lo mismo Vega Madrid no la public? cuando la legislatura anterior la vot? a favor. Cuando lo haga Boni? https://t.co/dJoXl1qUx2	sexist
153	SCB_ES	es	Twitter	RT @m_ebrard: Damos la m?s cordial bienvenida al Presidente Miguel D?az-Canel, a su distinguida esposa Lis Cuesta Peraza y a los destacados?	non-sexist
154	SCB_ES	es	Twitter	RT @johnerencastleg: Atenci?n @TEPJF_informa  @lorenzocordovav @M_OlgaSCordero @lopezobrador_ @FGRMexico Ya en el pasado el @INEMexico le a?	non-sexist
