	dataset	source	language	text	task1
13	MeTwo	Twitter	es	Me gustó un video de @YouTube https://t.co/tEgT8YIb0i MI MUJER AL VOLANTE en un CIRCUITO | Dani Clos	non-sexist
14	MeTwo	Twitter	es	Vayanse a la mierda con su discurso de silvir lis dis vidis cuando después, con su pañuelito celeste lleno de odio a las mujeres que luchan hacen estas cosas. https://t.co/M2IksXg1Uj	non-sexist
15	MeTwo	Twitter	es	@cules_rules Vaya voz de nenaza que te ha salido, no?! <f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082>	sexist
16	MeTwo	Twitter	es	@Herlinda12_99 Bueno, no me dan pero voy a la cocina y como lo que haya Jajajaja Ly <U+2764><U+FE0F> https://t.co/RtozSkIHen	non-sexist
17	MeTwo	Twitter	es	Pues el @PRI_Nacional parece que volverá a fregar al país.	non-sexist
18	MeTwo	Twitter	es	And the winner is... la niñata cotorra marisabidilla <f0><U+009F><U+00A4><U+00AE><f0><U+009F><U+00A4><U+00AE> #MasterChef	non-sexist
19	MeTwo	Twitter	es	@mujerlunabella Lunita no dejes que te metan el dedulse en tus dias off https://t.co/SxGHTblWxQ	non-sexist
20	MeTwo	Twitter	es	"@Black_WidowN Estás peor tú que yo... Deberías tomar reposo.

—De todos modos, se dejó guiar por la adulta hasta el cama, donde ambas se sentaron—. 

Peter y yo... Bueno, corté con él. Tenía un comportamiento extraño y, en fin, empezó a llamarme zorra y demás. Me conoces, y sabes que no me »"	sexist
21	MeTwo	Twitter	es	A tu novia se le trata como una princesa, se le respeta como una dama, se le consiente como una niña, y se le ama como una mujer.	non-sexist
22	MeTwo	Twitter	es	Siento q ésta democracia es como una mujer con wonderbra,luce muy bien pero algo nos están ocultando.	sexist
23	MeTwo	Twitter	es	La veo igual de psicópata que la loca del bebito. ¿Ustedes no? https://t.co/GD2XlJXg4A	non-sexist
24	MeTwo	Twitter	es	"[1/7 11:01 PM] Gon: Vamos al mismo gym juntos?
[1/7 11:02 PM] Cande: Me re pinta eu
[1/7 11:06 PM] Gon: Salimos del gym y vamos a junior por un submarino o a betos por un lomito

Cómo hago para ser chica fitness si me proponen cosas así?"	non-sexist
25	MeTwo	Twitter	es	No digas que alguien es mala influencia, cada quien verá que hace; lo que importa es que esa persona se sienta bien, tú por ahora deja de ser mojigata y actúa como te de la gana.	non-sexist
26	MeTwo	Twitter	es	@ElMundoEspana Mujer al volante...	sexist
27	MeTwo	Twitter	es	"@SalvaGarca4 @TecnocraciaFree @ashia1970 @30monedasdplata @TowandaRebels @naughtySalem @kalindama @LozanoMabel @Campercampeador @Ndemoniado @Laura7MJ @Pi__Lar @Grenhu @igualdadpsoem @carmencalvo_ @NuriaCSopena @IsaMastro @marinamarroqui @feminicidio @TFeminista_ @ahorapodemos @Esquerra_ERC @iunida @PSOE @AlikaKinan @amelia_tiganus @AmbarNoAbusos @ColectivoCaye Según tus propias palabras, las mujeres no deberían contratar prostitución ya que ""no lo necesitan como un hombre"".
 Te informo, además en que más del 98% de la prostitución masculina la consumen HOMBRES gays."	sexist
28	MeTwo	Twitter	es	@UnaBooom No creo, no soy ninguna nenaza <f0><U+009F><U+0098><U+0082>	sexist
29	MeTwo	Twitter	es	@Tefa_ @misiameiftowers Deja tú, la jeta de una, mi tía lagartona y elitista.	non-sexist
30	MeTwo	Twitter	es	Vivo con el miedo de cederle mi lugar en el camión a una señora y que sea feminazi. Xkk me daz thu lugar k kreez k no puedo ir parada o khe serdo machizta	sexist
31	MeTwo	Twitter	es	@thecliniccl Irresponsable??? por mostrar una feminazi de Punta Arenas empleada de Boric?? la izq siempre se victimiza...	sexist
32	MeTwo	Twitter	es	"@JaimeBN1987 @nahuelflores1 pero a ver, que ser feminista no es odiar a los hombres o acosarlos. 
que un gran grupo de su comunidad lo haga no significa que eso es lo que el movimiento quiere llevar.
el feminismo representa igualdad de genero y defender a las mujeras acosadas.
el movimiento ""feminazi"" acosa"	sexist
33	MeTwo	Twitter	es	Una de mis housemates es de Inglaterra. Acabo de ir a la cocina, me ve y me dice “¿viste los resultados?” Y le digo “si, felicitaciones”. Normaaaal.	non-sexist
34	MeTwo	Twitter	es	@missbexana @FanficsSq Y digo niñata no en el sentido de adolescente que puede que sean pero tb hay gente de más edad que son igualmente inmaduras.	non-sexist
35	MeTwo	Twitter	es	"- Me parece perfecto que condenen a Nahir, me gustaría que apliquen lo mis
- MIREN A LAS FEMINISTAS DEFENDIENDO A UNA ASESINA MIREN
- Pero quiero decir que hay millones de femicidas suelt 
- CÓMO VAS A DECIR QUE NO MERECE IR PRESA LOCA DE MIERDA 
- Pero pará loc 
- NADIE MENOS!!1"	sexist
36	MeTwo	Twitter	es	Y en tus dias malos, te voy a querer todavia más.	non-sexist
37	MeTwo	Twitter	es	Estar en tus días y en tiempos lluviosos debería ser descanso laborar y.u	non-sexist
38	MeTwo	Twitter	es	Tengo mil amigas en una, te amo zorra de mi 💙 https://t.co/qweLR8R4q1	non-sexist
39	MeTwo	Twitter	es	En Cataluña ponen a la zorra a cuidar las gallinas. https://t.co/5PZhXxt77v	non-sexist
40	MeTwo	Twitter	es	@camisosa13_ Zorra jajaaja te amo	non-sexist
41	MeTwo	Twitter	es	"Me va a explotar el pecho de orgullo.

Hace unos meses corría a abrazarle como una niña pequeña cuando su ídolo llegó de visita a la academia. Ahora compone canciones con él.

@Miriam_ot2017 🖤 https://t.co/YxDSUY7FCt"	non-sexist
42	MeTwo	Twitter	es	"""¿Vas a ir vestida así? Pero parecés una puta""

Aparte de machirulo terrible sorete como amigo. https://t.co/vHn8eyD5h7"	sexist
43	MeTwo	Twitter	es	Pues si, seguro que eres divertida y me pareces una puta diosa la verdad. Muy crushh — basta ya de chuparnos los pitos https://t.co/JjOhJykY2L	non-sexist
44	MeTwo	Twitter	es	2018 y aun tengo amigas que cuando sacas temas de sexo te miran como si fueses una nimfomana loca del coño YA ME JODERIA	non-sexist
45	MeTwo	Twitter	es	@MashiRafael Ya mismo caes loca del ático. Ni mandando mensajes cada 5 minutos te salvas. Pudrete 🐀	non-sexist
46	MeTwo	Twitter	es	"Como la ""loca de los gatos "" ya esta pillado..pasará a ser la loca del pruces https://t.co/FLRqG2T7W3"	non-sexist
47	MeTwo	Twitter	es	@vanesavallejo3 Estas hormonas se encargan de producir los caracteres secundarios masculinos y femeninos por lo que con un tratamiento hormonal y una cirugía de reasignación de sexo bastaría biológicamente hablando para ser mujer.	non-sexist
48	MeTwo	Twitter	es	@Lirroy11 @FlacOSX10 @Rociobercovich No necesito un guion para ser mujer y menos por parte de un ser machista, soy mujer peleando por mis derechos y haciendome respetar	non-sexist
49	MeTwo	Twitter	es	Hasta para ser mujer el hombre es mejor, are https://t.co/VtbBL8D7iJ	sexist
50	MeTwo	Twitter	es	@adnradiochile @MissUniversoOrg Transexual, por que para ser mujer no basta con solo parecerlo. Es mucho más profundo que eso	non-sexist
51	MeTwo	Twitter	es	“manejas muy bien para ser mujer” GRAXX it actually made my day 😂🤷🏼‍♀️	sexist
52	MeTwo	Twitter	es	@genee_gm Loca me refiero a lo mojigata, no es mi problema como lo interpretes.	non-sexist
53	MeTwo	Twitter	es	"DAMA OCASIONA ACCIDENTE
#Policía #Campeche
Una mujer al volante protagonizó un aparatoso accidente sobre la av. López Portillo, luego de que al intentar ingresar a un local comercial, le cerró la circulación a un motociclista que poco pudo hacer para evitar la fuerte colisión. https://t.co/5cqQVEt1Cr"	non-sexist
54	MeTwo	Twitter	es	"A las mujeres hay que decirles que están lindas, preciosas. No que están ""buenas"", son mujeres, no comida."	non-sexist
55	MeTwo	Twitter	es	Despues me deje llevar por el momento y mmgvo el cachete se lo deje morado jasjajs, bueno después de ahí aprendí que a las mujeres hay que tratarlas como unas perras en la cama pero nunca olviden tratarlas como unas princesas en la calle!	sexist
56	MeTwo	Twitter	es	@Ororo_Pride @seingantistenes @CatEspartaco @Pablo_Riol @Christi36833350 @catmyrfree @CebaCega2 @cositasmartinez @Azaras11 @Dan__Vader @graells_albert @IV_Godofredo @jjca1963 @Sargantania1 @crmontoro @ploumerda @stelledimare77 @Aurantiacum @FreeyellowMarta @martinalliue80 @massaborrega @santsfree @jlinares63 @joanbarrisrosi @77populacho @TangutSatue @Alexspain72 @charlypv81 @Peio_Basque @ultrasRoures @Carmatpor @silvia_yucca @commonscouncil @Berlustinho @Republica42 @Morafanova @manuvilladangos @IndosIgnacio @Donpinpon2011 @Xerxiodpo @inma_ben @Avelimelis @El_Cortijo_UE @homo_politik @GloriaFontLopez @juangimeno1969 @Aiknati @lgoritme @ItzalArgia @lovenjaire Los que nos echamos siestas es porque somos más listos. Me gustaría ver a la nenaza K currando a 45°.	sexist
57	MeTwo	Twitter	es	@Romimenz @marianoobarrio Jajaja nadie quiere hembristas desequilibradas, ella quiere que la mantengan, inconsecuencia nivel #feminazi https://t.co/X73OaTL6Gf	sexist
58	MeTwo	Twitter	es	"Pero nadie refuerza la violencia femigolpista y feminazi, contra los varones más vulnerables y desprotegidos !
#EleccionesYa #SanchezDimision #golpeDEstadoYa https://t.co/mKfFU3QLNG"	sexist
59	MeTwo	Twitter	es	@Iron_Queen Qué absurda! Te recuerdo lo q pasó: hice un comentario apoyando a una persona, m mandaste a la cocina por ser mujer, y m llamaste sumisa, te expliqué q ser mujer no implica ser ama de casa o una feminista extrema como otras. Si eres feliz me alegro, no juzgo y daño gratis como tú	sexist
60	MeTwo	Twitter	es	voy a ir a la cocina a intentar hacer funcionar mi cafetera, deséenme suerte	non-sexist
61	MeTwo	Twitter	es	No me pasen a fregar la vida con la noticia de que Diego Boneta y Camila Sodi andan en la vida real	non-sexist
62	MeTwo	Twitter	es	@Fran_Ugalde Si pero no por cumplir metas te vas a fregar a gente inocente. Y así hay muchos casos. Como en todos lados hay gente que hace bien su trabajo mientras que hay otros que son unos corruptos y más encima en cargos importantes	non-sexist
63	MeTwo	Twitter	es	Jajaaj se quiere hacer la femenina y alto marimacho jajaja pobrecita mi amor ni intentando ser delicada le sale jajaajajajaj	non-sexist
64	MeTwo	Twitter	es	En tus días,  en tu estómago solo un té chai, son las 6:45pm seguir en el trabajo, estrés al mil... Que más puedo pedir? 😭😭😭😭😭😭😭	non-sexist
65	MeTwo	Twitter	es	"Todavía existen pibes que hacen la asociación de ""mal humor, tristeza, enojo = estar en tus días"". Mirá, mis ovarios no tienen nada que ver lo que pasa es que sos un PELOTUDO."	sexist
66	MeTwo	Twitter	es	@msleslievllgs Así eres en tus días normales	non-sexist
67	MeTwo	Twitter	es	@LaidirSaighdear « Pero mejor eso a que me consideren como una mujer débil o de esas que lloran por las esquinas. —expresó ahora con más fuerza en su voz; demostrando cierta rabia en sus palabras, tanto por el canon de la mujer como por lo que habían hecho con ella. Antes no era así—. ¿Has »	non-sexist
68	MeTwo	Twitter	es	Cómo una mujer de 100 años se reencontró con su hija 80 años después de darla en adopción https://t.co/jrxfw3PrYa	non-sexist
69	MeTwo	Twitter	es	"@__Lost__Soul__ Según psicosis no, el ""protagonista"" es tratado de transformista al conocerse que habla, actúa y se siente como una mujer, en este caso su madre, pero lo suyo era una doble personalidad,  pero eso mi duda"	non-sexist
70	MeTwo	Twitter	es	Como una mujer tan hermosaaa puede tener él autoestima tan baja!?	non-sexist
71	MeTwo	Twitter	es	@SoyListorti  pareces una puta despechada hablando de @pampitaoficial , por què no la cortàs..no hay otro tema para hablar????	non-sexist
72	MeTwo	Twitter	es	Mojigata mierda	non-sexist
73	MeTwo	Twitter	es	Se avisa a todos los conductores tener precaución!! hay una mujer al volante en cualquier parte del mundo. :0 https://t.co/6Sbe5f2C9a	sexist
74	MeTwo	Twitter	es	A las mujeres hay que hacerlas sentir especiales, no hacerles sentir celos. Muchacho marico.	non-sexist
75	MeTwo	Twitter	es	Odio a las mujeres que para crecer en internet enseñan sus pechos una de ellas es la windygirk que pasa que nl tienes personalidad o que , uff que rabia	sexist
76	MeTwo	Twitter	es	@Elenitavip Eso es correcto y más las mujeres de hoy en día que son profesionales Ejecutivas amas de casa mamá en fin todo en uno y todavía les queda tiempo definitivamente son superiores pero esas pocas con su extremo no se 🤔.	non-sexist
77	MeTwo	Twitter	es	Que pasa con las mujeres de hoy en día? De donde ha salido tanta soberbia?	sexist
78	MeTwo	Twitter	es	@luciferentweet @MorenoEVir @Barbijaputa Vengo muy de vuelta y sé de lo que hablo, me informo desde la objetividad, no desde el sesgo ¨feminista¨ ni de sus falaces estadísticas falseados. Igual tu amiga la feminazi progrezombie subvencionada te dio los datos desde su coño misándrico. Pero YO NO LA CREO porque MIENTE.	sexist
79	MeTwo	Twitter	es	Creo que saque el amor a la cocina como mi mamá 😍🍖🍕🌯🌮🥙👩🏻‍🍳	non-sexist
80	MeTwo	Twitter	es	Estamos peleando, no vamos a volver a la cocina ✊🏽	non-sexist
81	MeTwo	Twitter	es	"@espeviruzz19 2018 y todavía insultan diciendo ""marimacho"""	non-sexist
82	MeTwo	Twitter	es	Soy una niñata	non-sexist
83	MeTwo	Twitter	es	"Ya me lo imagino. 

—Oye, Madara, comeme el coño. 

—Sí, y te lamo la oreja no te jode. Puta degenerada. Mujer tenías que ser."	sexist
84	MeTwo	Twitter	es	"@grunppy @Klavdiaperez1 @Espaiderman80 @Justicierodenos A lo mejor cuando el lenguaje inclusivo se haga oficial se podría volver ""legible"" para las feministas... Paradójico, no lo cree? 👌"	sexist
85	MeTwo	Twitter	es	Esta es la reina de las feministas de verdad o no? @Maryana_Veesc 😎😎😎 https://t.co/aHrpRZlTmd	non-sexist
86	MeTwo	Twitter	es	Aunque el cuerpo no cambia que me veas como una niña https://t.co/bUcUjGxeDU	non-sexist
87	MeTwo	Twitter	es	Mi mamá le puso SODA A LA LECHEEE, esta mujer esta mas loca que la loca del bebito	non-sexist
88	MeTwo	Twitter	es	"@TweetsEze @MacheteEnBoca Querida amiga, pararse a pensar no es defender a nadie, simplemente es hacer una reflexión y creo que todos deberíamos hacerlo... 
solo los nazis y los dictadores odian a quien reflexiona. 
Se nota que mucho manifiesto, mucho feminismo pero pensar por ti misma bastante poco, ciao"	non-sexist
89	MeTwo	Twitter	es	Las mujeres no deberían de maquillarse , son bellas con el simple echo de existir.	non-sexist
90	MeTwo	Twitter	es	@mariarodd17 Tía ella diciendo cosas tipo: es que las mujeres de hoy en día son muy sueltas y son unas acosadoras, estás ahora van preparadas con to y van a los hombres diciéndoles vamos a pasar un rato que ni te cobro y ellos los pobres si tienen pareja tienen que ir preparados para no caer	sexist
91	MeTwo	Twitter	es	@ElCochonDgo @gobdgo @AispuroDurango @ScorpionDorad0 @contralor2018 @elmancesar @Acrewdgo @GrinchDgo @Gutierritosdgo1 @ElFollonDgo @777_300lr @RandyDelux Deseo sea cierto anda en la bahía mazatleca Y SALGA UN TIBURÓN dando cuenta de esa lagartona	non-sexist
92	MeTwo	Twitter	es	@lunagalla Ah que no vale, que no soy féminazi, cagoenla.	non-sexist
93	MeTwo	Twitter	es	@jhoifer13 @DarckRose_ Vale,  a mi me apetece comer ya asi que me voy a la cocina - me levanto - no se ustedes,  eric?  Que fue lo que hicisteaca dentro?	non-sexist
94	MeTwo	Twitter	es	En Ensenada son las 7 am y dormía plácidamente cuando mi hermani empezó a fregar con que el partido de Francia 🤦🏻‍♀️ (en SLP donde ya son las 9)	non-sexist
95	MeTwo	Twitter	es	@vkobernyk @UnaBooom @TONTITO @FeelsBeef ...lencima se pone todo digno diciendo q es mentira y q la culpa de todo es de @brujitabaneada por chivarse de él. En fin, q a fregar. Luego en su tw va poniendo frases critiando las relaciones con celos (x @FeelsBeef) y a mi me contó q no deja a su mujer no le deja tener RRSS🤣	non-sexist
96	MeTwo	Twitter	es	Te van a suspender otra vez ya no ataques a amlo te van a fregar https://t.co/MCxciSMOgB	non-sexist
97	MeTwo	Twitter	es	"Mi hermano ""explicandole"" a mi mamá acerca del idioma inclusivo:
- Las feministas quieren usar nosotres porque dicen que nosotros es machista
Mi mamá: Naaa hasta ese punto llegan las pelotudas?

Great."	sexist
98	MeTwo	Twitter	es	@AldoDuqueSantos @GiovyMon Deje de buscar don @AldoDuqueSantos las feministas no se alegran por los logros de sus congéneres, si así fuera dejarían de ser feministas.	sexist
99	MeTwo	Twitter	es	Nivel de perfección: que te consientan con chocolates cuando estas en tus días &lt;&lt;	non-sexist
100	MeTwo	Twitter	es	@ari_arancha Diviértete mucho guapisiiiima. Pásalo genial en tus días libres. Besotes grandes. https://t.co/dNj8WC2r1P	non-sexist
101	MeTwo	Twitter	es	@aldanasecco Anda zorra si dsp ni apareces, encima t tenía q contar una	non-sexist
102	MeTwo	Twitter	es	Alguien me explica que zorra hace la gente en el cajero que se demora tanto.	non-sexist
103	MeTwo	Twitter	es	@midulcesed @FeelsBeef Jajajaja tengo trabajo de verdad como una mujer empoderada. Hola guapEs	non-sexist
104	MeTwo	Twitter	es	No se porque pero amo las burbujas🙈 me emociono como una niña cundo las miro... https://t.co/VdpxLVCu5J	non-sexist
105	MeTwo	Twitter	es	Cómo que los chicos van a lo que van, y no es así es algo que cada uno puedo tener la mentalidad que quiera mientras no sea ofensiva, no te tienes que hacer la difícil porque si no pareces una puta, quítate de la cabeza eso, si te apetece y va acorde con tu forma de pensar+	non-sexist
106	MeTwo	Twitter	es	@ramirorddhh Deberías buscar cuando la oposición hacía marcha contra la loca del ático!! Eso era multitudinaria!! No hacer q la gente haga fila delgada para q parezca q ocupan varias cuadras jajaja	non-sexist
107	MeTwo	Twitter	es	@cavc2008 @DiegoArcos14 De sobra sabes que manejo mejor que cualquier hombre Pimo querido 🤣... en mi no aplica eso de “mujer al volante...”	sexist
108	MeTwo	Twitter	es	"Por qué tuitean cosas como ""las mujeres no deberían opinar sobre el futbol (u otro deporte)"" y mamadas así? Opinen en donde se les hinche el huevo/ovario pero háganlo sanamente y dejen a otros opinar también"	sexist
109	MeTwo	Twitter	es	@Enerio_Dima Es gente que dice bien alto y claro para que se les oiga que las mujeres no deberían votar. Partiendo de ese nivelazo nada puede sorprenderme.	sexist
110	MeTwo	Twitter	es	@henrymiller54 @baradit Si, y te cuento otra, a los 40 andaba diciendo que a las mujeres hay que ordeñarlas, es tan ocurrente, tan sútil, tan ingenioso ahh, pero es su tipo de humor, como no darnos cuenta nosotros los tontos, a los que es fácil meterle el pico en el ojo (baradit)	sexist
111	MeTwo	Twitter	es	"En el libro sobre las mujeres que estoy leyendo aprendí algunas cosas:

1. En Argentina las mujeres feministas existen desde 1800 y muchas de ellas eran anarquistas o socialistas. Pedían derecho al voto y el libre matrimonio 

2. La política siempre odio a las mujeres ..."	non-sexist
112	MeTwo	Twitter	es	@SolVicman Dios! Tengo miedo de un ataque feminazi pero según yo sí. Creo que es  halagador que alguien te mire porque le pareces atractiv@ pero cada quien puede pensar lo que quiera 😊	sexist
113	MeTwo	Twitter	es	@jazzbass18 @gerardonoce @UnodeJara @ZassCometro @Machisstometro @2LaCrono Sólo te faltó llamarme feminazi. Si quieres hablar de libros, discos  y cine... Búscate a otra que te ría las gracias.	non-sexist
114	MeTwo	Twitter	es	"@Troliyama_Shuu bueno, desde que usó la palabra ""feminazi"" era evidente"	non-sexist
115	MeTwo	Twitter	es	@petrogustavo Así es las farc no nos volverán a fregar	non-sexist
116	MeTwo	Twitter	es	Jajaja DEDICAR TU TIEMPO A FREGAR A OTROS??? Wey, que hueva.	non-sexist
117	MeTwo	Twitter	es	Voy a fregar ahorita porque después que me vuelva a pintar las uñas no vuelvo a tocar la esponja por un buen rato.	non-sexist
118	MeTwo	Twitter	es	"@edufeiok ""muerte al macho"" El sueño de toda marimacho"	non-sexist
119	MeTwo	Twitter	es	"—No, no es verdad.

En qué momento se ha vuelto una niñata estúpida y mimada.— https://t.co/LbMqIqvpb4"	non-sexist
120	MeTwo	Twitter	es	"La típica Combo Mortal para coger y lanzarles lo primero que tengas a mano... ""¡Mujer tenías que ser!"" 😡 #FrasesMachistas https://t.co/E4KSJExuTv"	sexist
121	MeTwo	Twitter	es	"@IndignadoChubut @Ariel_CARP82 @Gatosylvestre Jajajajajajajajaja eyaculo mucho semen jajajajajajajajaja gran argumento. Semeeeeen jajaja almejassss jajaja las feministas son todas lesbianas... Ay sí, cómo no..
https://t.co/EqfqKrCZkt"	non-sexist
122	MeTwo	Twitter	es	#VamosLaU Sanhueza siempre serás un zorra CTM picante y sucio para jugar	sexist
123	MeTwo	Twitter	es	"-Baja la mirada, de repente parece que está siendo tratada como una niña pequeña...¿A lo mejor se ha arreglado por Eri?-

¡Voy a por él! ¡No os preocupéis! -Asiente y echa a correr (como buenamente puede) hacia la casa de su amigo. Igual que Leo, Chi-chan también parece pensar +"	non-sexist
124	MeTwo	Twitter	es	"-Sos una desubicada.
-No te podes vestir asi.
-¿Vos querés provocar? 
-¡Sos una rebelede!
-Te gusta llamar la atención.
-Pareces una puta.
-Se nota que te gusta incitar a los demás."	sexist
125	MeTwo	Twitter	es	"Como un chabón se piensa que tiene el derecho de hacerte tal y tal cosa solo por como te vestis o estás maquillada.. y ""es tu culpa porque pareces una ""puta"" o ""pensé que querías"""" .. increíble pero totalmente cierto. Muy buen cap de #RizhomaHotel"	sexist
126	MeTwo	Twitter	es	"#RizhomaHotel ""PARECES UNA PUTA POR QUE PASAS ACÁ. SI VENÍS A TRABAJAR TE HUBIERAS QUEDADO EN LA PUERTA"""	sexist
127	MeTwo	Twitter	es	DeluxeSabado Saquen a esa loca del plató, prepotente, soberbia y vengativa.	non-sexist
128	MeTwo	Twitter	es	La última idea loca del Reino Unido: un Brexit sin Brexit https://t.co/MBWGnTJOPc	non-sexist
129	MeTwo	Twitter	es	“De verdad que yo no soy machista pero las mujeres no deberían manejar o votar.” https://t.co/otuLmygCrR	sexist
130	MeTwo	Twitter	es	@marisabelm @fabriciocorread A las mujeres hay que , admirarlas, quererlas y respetarlas, qué hay de malo que expongan su belleza???yo diría que en esos concursos deberían ser mixtos , que también incluyan hombres , a las mujeres también les gusta mirar y admirar ...	non-sexist
131	MeTwo	Twitter	es	"A las mujeres hay que protegerlas, quererlas, cuidarlas, acariciarlas, piropearlas...etc....etc....etc.

Y al HOMBRE también, que no se nos olvide que ellos también sufren.

#HeDicho

Ana."	non-sexist
132	MeTwo	Twitter	es	"Solo a mi, o a alguien más le molesta en el alma cuando un hombre dice:
""A mí, mi padre me enseñó que a las mujeres hay que respetarlas"".
Me pregunto, no tuvieron madres, acaso?"	non-sexist
133	MeTwo	Twitter	es	"😡

No odio a las mujeres. No odio a los norteamericanos. Si detesto a ésta perra hija de la gran puta y a todos los cazadores furtivos. No soy asesino. Pero al ver estas imágenes reconsidero mi posición... 

😡

¡Atrapenla! https://t.co/s1L05ivvef"	non-sexist
134	MeTwo	Twitter	es	@shipper_April @SoraShipper Ayumi: *se dirigió a la cocina a preparar los platos para desayunar*	non-sexist
135	MeTwo	Twitter	es	tengo un sueño tan arrecho bast me voy a fregar y luego me acuesto a dormir por fin aAaAaAaAaAaAaAAAAAAAAAAAAAa	non-sexist
136	MeTwo	Twitter	es	@xblessiax Mira niñata de tres al cuarto que se cree feminista. Aprende primero a definir mujer sin caer en estereotipos misoginos y luego vienes y me cuentas. La que tiene que leer aqui sobre socializacion eres tu. La socializaicon y el genero SE IMPONE y si impone en bae a los genitales.	non-sexist
137	MeTwo	Twitter	es	Se hacen las feministas y después andan pidiendo los vídeos de Nahir. El pañuelito verde y corazoncito violeta se lo pueden meter en el orto, hipócritas	sexist
138	MeTwo	Twitter	es	@malepichot Cada vez las feministas , le hacen más daño al feminismo.	sexist
139	MeTwo	Twitter	es	"nadie te quiere representar locura búscate un manager para eso, a mí tampoco me cabe tu feminismo barato... e infórmate un poco antes de hablar, porque las ""feministas originarias"" también luchaban x el aborto legal seguro y gratuito https://t.co/RWiM6o58eH"	non-sexist
140	MeTwo	Twitter	es	Quédate con el que quiera verte aunque estés en tus días.	non-sexist
141	MeTwo	Twitter	es	@Mauricio_Magus Es la zorra, estuve entre dori dori y kimi no soba de pero uffff so good	non-sexist
142	MeTwo	Twitter	es	| estoy llorando. Acabo de ver un vídeo en fb de cómo una mujer avienta a un perrito al drenaje, ¿por qué hay gente así? Y es que encima se graban haciéndolo. Los perros son mil veces mejores que los humanos, son seres de puro amor, no se merecen nada de esto.	non-sexist
143	MeTwo	Twitter	es	Capítulo 11 de la tercera temporada de Merlí sin duda el mejor de todos. Mira llorando como una niña pequeña y sin poder parar. Los feelings a mil dios 💕	non-sexist
144	MeTwo	Twitter	es	JOOOOO QUE GUAYYYYYY soy como una niña pequeña que le encanta los globos https://t.co/jWLmqYIMC1	non-sexist
145	MeTwo	Twitter	es	Una novia es cómo una niña : cuídala,  consiéntela y sobre todo dale mucho amor.	sexist
146	MeTwo	Twitter	es	por primera vez en mi vida voy a ver cuadros de Monet y me siento como una niña cuando la dicen que va a ir a Disneyland	non-sexist
147	MeTwo	Twitter	es	"Mi mente: Sary por favor, basta de hablarle tan mal a Melo por dios, se linda una vez en tu puta vida con alguien

*Melo hace algo*

Yo: pINCHE LOCA DEL COÑO, ME CAGO EN TODO MELOS PELOS, JODER SOS UNA BOLUDA, BOLLERA TENÍAS QUE SER, ES QUE QUE PAYASA ERES CARA ESCOBA, A QUE PUTA"	non-sexist
